TO time detected,TO value detected,IC time detected,IC value detected,actual TO time,actual TO value,actual IC time,actual IC value
3813.0,-111.02,3342.0,-115.5,2951.0,-133.63,2442.0,-142.94
4782.0,-141.75,4367.0,-158.2,3852.0,-143.99,3436.0,-154.49
5714.0,-124.32,5282.0,-132.37,4775.0,-147.07,4367.0,-158.2
6638.0,-146.02,6186.0,-136.22,5698.0,-134.82,5195.0,-174.65
7590.0,-128.03,7108.0,-141.82,6638.0,-146.02,6155.0,-173.6
8535.0,-124.88,8077.0,-141.4,7598.0,-138.04,7139.0,-163.45
9453.0,-147.49,9009.0,-140.0,8535.0,-124.88,8092.0,-147.91
10406.0,-94.99,9946.0,-141.68,9453.0,-147.49,8993.0,-156.17
11340.0,-132.93,10877.0,-129.22,10398.0,-104.23,9877.0,-150.78
12292.0,-119.07,11798.0,-127.33,11340.0,-132.93,10823.0,-161.07
13217.0,-133.28,12723.0,-24.43,12284.0,-122.78,11805.0,-148.82
14171.0,-52.57,13685.0,-147.7,13217.0,-133.28,12777.0,-142.1
15080.0,-146.16,14617.0,-148.12,14124.0,-111.3,13638.0,-161.14
16022.0,-114.73,15544.0,-128.03,15087.0,-150.15,14569.0,-161.63
16970.0,-113.19,16460.0,-13.23,16006.0,-132.16,15552.0,-143.71
17868.0,-118.58,17403.0,-62.58,16962.0,-128.87,16435.0,-157.36
18811.0,-115.64,18343.0,-84.49,17899.0,-132.3,17387.0,-157.15
19753.0,-115.22,19278.0,-110.39,18842.0,-136.78,18327.0,-148.89
20750.0,-131.88,20231.0,-161.14,19777.0,-123.69,19270.0,-156.03
21703.0,-119.14,21194.0,-109.62,20750.0,-131.88,20224.0,-166.18
22644.0,-140.28,22157.0,-112.56,21711.0,-122.36,21233.0,-140.63
23603.0,-126.56,23099.0,-25.13,22660.0,-143.5,22141.0,-178.43
24581.0,-117.6,24055.0,-119.7,23611.0,-127.61,23076.0,-158.62
25590.0,-21.7,25056.0,-128.87,24573.0,-135.59,24047.0,-169.4
26477.0,-125.02,25971.0,-42.14,25527.0,-125.3,25080.0,-145.74
27438.0,-121.17,26935.0,-125.37,26461.0,-143.99,25947.0,-147.7
28388.0,-125.02,27938.0,-131.18,27422.0,-131.46,26943.0,-148.12
29344.0,-121.87,28856.0,-153.86,28388.0,-125.02,27851.0,-170.59
30310.0,-127.4,29829.0,-126.49,29313.0,-129.85,28864.0,-166.04
31279.0,-114.8,30809.0,-107.45,30278.0,-129.71,29773.0,-149.17
32245.0,-134.33,31850.0,-114.45,31286.0,-125.23,30738.0,-127.82
,,,,32253.0,-136.78,31741.0,-145.74
