TO time detected,TO value detected,IC time detected,IC value detected,ogTO time,ogTO value,ogIC time,ogIC value
3123.0,-78.75,2487.0,-68.53,4297.0,0,3655.0,-57.26
4352.0,-101.78,3765.0,-91.49,5585.0,-72.73,4916.0,-65.38
5641.0,-101.15,5018.0,-72.66,6853.0,-77.28,6164.0,-72.31
6869.0,-79.38,6251.0,-96.18,8098.0,-74.2,7406.0,-68.95
8137.0,-88.27,7430.0,-86.38,9313.0,-74.62,8659.0,-70.35
9361.0,-94.5,8769.0,-104.51,10565.0,-74.41,9898.0,-73.78
10597.0,-85.26,9984.0,-108.22,11781.0,-75.53,11134.0,-76.79
11836.0,-94.99,11213.0,-106.82,13006.0,-72.45,12352.0,-80.71
13046.0,-79.1,12360.0,-86.1,14224.0,-72.24,13566.0,-82.39
14265.0,-84.07,13660.0,-91.84,15404.0,-71.05,14772.0,-78.47
15459.0,-94.99,14866.0,-101.43,16637.0,-72.59,15983.0,-77.7
16692.0,-82.95,16069.0,-111.37,17832.0,-73.71,17200.0,-80.99
17848.0,-77.7,17278.0,-110.32,19043.0,-71.96,18411.0,-83.93
19090.0,-78.05,18497.0,-116.06,20228.0,-72.73,19604.0,-84.63
20267.0,-88.34,19699.0,-99.96,21421.0,-74.55,20806.0,-84.49
21453.0,-88.62,20892.0,-103.18,22574.0,-70.84,21974.0,-80.92
22638.0,-91.14,22069.0,-115.36,23750.0,-74.34,23145.0,-86.31
23783.0,-85.96,23231.0,-105.42,24935.0,-72.24,24314.0,-81.41
24966.0,-93.66,24400.0,-126.98,26100.0,-73.29,25495.0,-82.18
26139.0,-91.28,25573.0,-93.45,27290.0,-74.83,26670.0,-82.25
27328.0,-95.48,26761.0,-100.87,28473.0,-75.46,27850.0,-83.02
28537.0,-84.21,27928.0,-138.81,29609.0,-74.62,29028.0,-84.49
29649.0,-99.96,29106.0,-117.6,30791.0,-76.37,30184.0,-86.1
30822.0,-90.86,30270.0,-113.05,31954.0,-76.16,31351.0,-85.05
31993.0,-99.12,31421.0,-137.9,33147.0,-73.85,32538.0,-76.09
33162.0,-78.33,32617.0,-98.63,34342.0,-72.66,33716.0,-90.65
34350.0,-73.57,33794.0,-105.28,35497.0,-71.4,34885.0,-89.25
35528.0,-90.93,34980.0,-111.02,36687.0,-75.53,36081.0,-69.79
36710.0,-86.17,36143.0,-102.06,37850.0,-74.62,37250.0,-84.21
37921.0,-92.4,37328.0,-104.09,38996.0,-74.69,38406.0,-87.71
39044.0,-96.74,38492.0,-103.74,40146.0,-76.58,39557.0,-84.21
40184.0,-102.9,39635.0,-110.74,41310.0,-74.55,40708.0,-83.79
41357.0,-86.94,40793.0,-108.92,42490.0,-75.95,41882.0,-85.82
42521.0,-88.62,41960.0,-113.54,43669.0,-77.14,43066.0,-84.35
43700.0,-88.83,43143.0,-115.57,44815.0,-76.79,44238.0,-68.6
44846.0,-95.9,44307.0,-110.11,45941.0,-72.38,45366.0,-85.68
45996.0,-108.08,45444.0,-120.96,47115.0,-76.79,46524.0,-85.4
47139.0,-89.53,46603.0,-121.03,48267.0,-75.74,47685.0,-65.87
48299.0,-91.21,47748.0,-101.08,49412.0,-72.8,48835.0,-86.59
49467.0,-119.91,48913.0,-105.21,50574.0,-73.71,50000.0,-66.57
50612.0,-95.55,50062.0,-104.02,51702.0,-74.62,51136.0,-84.77
51741.0,-107.8,51207.0,-97.93,52847.0,-88.76,52279.0,-71.26
52879.0,-91.98,52341.0,-109.2,53991.0,-78.82,53423.0,-86.1
54046.0,-99.89,53478.0,-129.99,55120.0,-75.67,54552.0,-73.78
55159.0,-103.67,54615.0,-107.45,56265.0,-74.76,55707.0,-67.69
56304.0,-99.96,55769.0,-101.99,57422.0,-75.11,56848.0,-69.86
57461.0,-103.53,56918.0,-104.86,58580.0,-73.78,57993.0,-60.76
58619.0,-98.77,58063.0,-91.98,59882.0,-79.24,59209.0,-90.79
59898.0,-85.12,59318.0,-93.73,,,,
