TO time detected,TO value detected,IC time detected,IC value detected,ogTO time,ogTO value,ogIC time,ogIC value
516.0,-49.98,423.0,-11.27,1027.0,0,909.0,-18.34
1672.0,-91.49,957.0,-58.45,2349.0,0,2153.0,-37.59
2875.0,-64.26,2262.0,-111.51,3547.0,0,3365.0,-61.04
4009.0,-101.5,3451.0,-105.84,4709.0,0,4514.0,-58.31
5174.0,-107.24,4607.0,-123.69,5852.0,0,5672.0,-71.89
6314.0,-107.66,5765.0,-113.47,6992.0,0,6795.0,-70.63
7448.0,-104.44,6827.0,-101.85,8141.0,0,7952.0,-73.78
8592.0,-107.38,8053.0,-105.07,9294.0,0,9097.0,-78.33
9121.0,-101.71,9121.0,-101.71,10444.0,0,10254.0,-78.75
10867.0,-109.76,10348.0,-110.67,11835.0,-79.38,11334.0,-84.98
11921.0,-133.63,11411.0,-117.11,12559.0,0,12363.0,-83.09
12952.0,-116.41,12433.0,-130.97,13941.0,-80.29,13421.0,-82.95
14003.0,-109.62,13500.0,-118.79,14979.0,-82.67,14477.0,-91.56
15065.0,-127.75,14492.0,-122.08,16048.0,-88.34,15515.0,-82.88
16080.0,-104.65,15602.0,-125.3,17107.0,-86.52,16563.0,-92.26
17162.0,-107.17,16579.0,-127.47,17817.0,0,17635.0,-94.29
18207.0,-117.67,17721.0,-125.37,19188.0,-83.93,18669.0,-98.98
19258.0,-118.65,18677.0,-110.88,19768.0,-101.71,19706.0,-86.31
19814.0,-122.78,19721.0,-119.56,20772.0,0,20726.0,-87.99
21266.0,-147.77,20749.0,-149.94,21720.0,0,21681.0,-117.11
21758.0,-132.72,21697.0,-165.06,22649.0,0,22609.0,-91.7
22680.0,-138.88,22625.0,-142.1,23600.0,0,23569.0,-115.22
23623.0,-163.94,23576.0,-126.35,24571.0,0,24523.0,-91.84
24602.0,-144.83,24547.0,-148.33,25658.0,0,25492.0,-118.72
26036.0,-132.65,25547.0,-166.95,26497.0,0,26457.0,-103.39
26520.0,-149.45,26473.0,-139.65,27611.0,0,27437.0,-105.28
27981.0,-129.01,27500.0,-140.7,28560.0,0,28402.0,-108.99
28936.0,-146.3,28410.0,-137.48,29388.0,0,29349.0,-106.33
29451.0,-141.68,29365.0,-152.81,30512.0,0,30342.0,-102.41
30922.0,-123.13,30397.0,-142.59,31579.0,0,31429.0,-68.04
32036.0,-108.64,31499.0,-133.7,32653.0,0,32512.0,-77.14
33086.0,-112.7,32574.0,-115.01,33750.0,0,33600.0,-82.39
34185.0,-107.59,33670.0,-115.15,34857.0,0,34700.0,-101.22
35299.0,-94.64,34700.0,-101.22,35976.0,0,35803.0,-97.86
36425.0,-108.08,35904.0,-103.32,37074.0,0,36909.0,-96.81
37546.0,-101.01,37003.0,-107.31,38194.0,0,38045.0,-78.33
38713.0,-94.99,38114.0,-130.41,39403.0,0,39243.0,-77.35
39907.0,-99.12,39324.0,-90.72,40612.0,0,40462.0,-66.36
41114.0,-105.63,40541.0,-90.09,41818.0,0,41669.0,-63.77
42360.0,-99.54,41739.0,-88.34,43051.0,0,42912.0,-48.37
42982.0,-75.32,42990.0,-81.41,,,,
