TO time detected,TO value detected,IC time detected,IC value detected,ogTO time,ogTO value,ogIC time,ogIC value
427.0,-51.73,404.0,-45.64,1670.0,0,984.0,-45.5
1593.0,-154.35,1038.0,-137.9,2468.0,0,2012.0,-77.14
2584.0,-155.75,2096.0,-179.27,3207.0,0,2988.0,-118.3
3555.0,-163.66,3011.0,-178.5,4149.0,0,3948.0,-118.58
4505.0,-156.31,4018.0,-184.94,5111.0,0,4916.0,-152.25
5465.0,-168.35,4931.0,-197.47,6059.0,0,5888.0,-149.8
6423.0,-163.24,5943.0,-170.17,7027.0,0,6840.0,-145.25
7389.0,-166.74,6848.0,-175.42,7982.0,0,7801.0,-153.44
8323.0,-148.19,7857.0,-180.74,8826.0,-175.63,8756.0,-131.39
9323.0,-162.05,8779.0,-176.47,9773.0,0,9734.0,-167.09
10294.0,-162.68,9749.0,-202.3,10761.0,0,10714.0,-167.3
11288.0,-143.99,10730.0,-201.25,11745.0,0,11698.0,-145.67
12228.0,-152.32,11721.0,-187.11,12710.0,0,12664.0,-146.65
13175.0,-165.13,12687.0,-202.02,13662.0,0,13623.0,-162.68
14122.0,-146.58,13639.0,-188.3,14760.0,0,14574.0,-150.78
15078.0,-153.37,14636.0,-192.78,15697.0,0,15519.0,-167.93
16015.0,-159.88,15581.0,-200.41,16639.0,0,16460.0,-159.53
16995.0,-164.57,16523.0,-191.45,17601.0,0,17407.0,-145.81
18908.0,-175.84,18381.0,-200.55,18545.0,0,18358.0,-160.44
19837.0,-173.39,19381.0,-192.99,19496.0,0,19318.0,-159.11
20828.0,-178.08,20294.0,-198.87,20467.0,0,20279.0,-147.21
21790.0,-166.74,21254.0,-182.49,21285.0,0,21238.0,-145.74
22751.0,-167.09,22271.0,-195.16,22263.0,-150.08,22209.0,-160.02
23720.0,-155.96,23232.0,-182.98,23341.0,0,23169.0,-145.18
24644.0,-167.72,24140.0,-196.77,24319.0,0,24125.0,-155.68
25637.0,-161.28,25140.0,-183.54,25257.0,0,25078.0,-170.73
27511.0,-180.95,27008.0,-183.68,26227.0,0,26040.0,-177.87
28468.0,-159.11,27964.0,-197.05,27172.0,0,26993.0,-159.88
29448.0,-186.62,28921.0,-213.5,27980.0,0,27941.0,-162.89
31312.0,-166.25,30830.0,-189.63,28945.0,0,28897.0,-153.58
32303.0,-165.48,31821.0,-196.14,29898.0,0,29859.0,-162.33
33250.0,-176.75,32730.0,-177.24,30853.0,0,30815.0,-159.67
34233.0,-164.64,33698.0,-189.07,31789.0,0,31758.0,-154.98
35196.0,-156.8,34707.0,-199.64,32777.0,-169.68,32715.0,-156.17
37096.0,-161.56,36595.0,-193.13,33723.0,0,33675.0,-155.19
38091.0,-167.65,37570.0,-187.25,34700.0,-152.74,34645.0,-170.17
39066.0,-161.28,38529.0,-179.2,35670.0,0,35615.0,-170.17
40012.0,-157.29,39485.0,-185.22,36642.0,-149.38,36588.0,-171.43
41080.0,-113.47,40469.0,-173.95,37593.0,0,37547.0,-156.59
