TO time detected,TO value detected,IC time detected,IC value detected,actual TO time,actual TO value,actual IC time,actual IC value
3693.0,-117.18,3095.0,-84.98,2637.0,-145.46,2001.0,-115.15
4832.0,-133.7,4227.0,-122.43,3755.0,-128.8,3125.0,-133.7
5901.0,-136.99,5313.0,-104.16,4832.0,-133.7,4219.0,-128.8
6945.0,-134.4,6373.0,-99.89,5908.0,-139.09,5297.0,-128.87
7945.0,-148.82,7418.0,-58.45,6937.0,-135.31,6420.0,-154.28
9016.0,-142.73,8451.0,-105.56,7953.0,-149.31,7387.0,-139.02
10055.0,-152.18,9505.0,-116.27,9009.0,-145.18,8466.0,-143.43
11100.0,-136.5,10544.0,-104.44,10039.0,-157.78,9513.0,-138.11
12126.0,-146.86,11590.0,-109.9,11084.0,-148.26,10498.0,-137.2
13169.0,-144.13,12585.0,-76.44,12102.0,-152.32,11543.0,-127.82
14232.0,-141.89,13635.0,-54.46,13154.0,-151.55,12617.0,-137.48
15260.0,-129.64,14714.0,-101.71,14217.0,-149.94,13667.0,-147.56
16304.0,-137.83,15753.0,-33.67,15260.0,-129.64,14668.0,-133.77
17356.0,-148.89,16799.0,-69.58,16327.0,-147.91,15722.0,-160.65
18356.0,-153.23,17821.0,-168.98,17356.0,-148.89,16776.0,-145.39
19424.0,-130.69,18835.0,-147.14,18379.0,-159.74,17829.0,-176.54
20458.0,-158.34,19867.0,-131.18,19400.0,-144.76,18827.0,-158.27
21489.0,-129.5,20922.0,-139.51,20458.0,-158.34,19859.0,-151.76
22504.0,-141.12,21963.0,-90.44,21435.0,-130.41,20914.0,-160.79
23564.0,-142.8,22994.0,-76.93,22519.0,-146.02,21994.0,-160.93
24584.0,-144.41,24038.0,-79.03,23556.0,-144.69,22971.0,-149.17
25653.0,-143.5,25079.0,-96.95,24591.0,-145.46,24014.0,-147.35
26618.0,-122.57,26097.0,-156.38,25660.0,-144.9,25063.0,-150.57
27671.0,-130.34,27122.0,-151.62,26688.0,-149.03,26089.0,-160.3
28712.0,-132.09,28184.0,-135.52,27711.0,-141.19,27122.0,-151.62
29800.0,-142.17,29219.0,-154.49,28744.0,-145.25,28176.0,-141.68
30831.0,-153.3,30249.0,-146.02,29792.0,-142.31,29211.0,-155.96
31899.0,-130.48,31281.0,-161.56,30831.0,-153.3,30241.0,-146.93
32897.0,-168.35,32356.0,-103.46,31884.0,-140.0,31296.0,-168.91
33897.0,-156.24,33369.0,-120.96,32889.0,-169.61,32341.0,-149.8
34942.0,-147.98,34378.0,-117.81,33904.0,-157.36,33354.0,-163.52
35994.0,-139.93,35398.0,-158.2,34942.0,-147.98,34362.0,-137.06
37056.0,-140.91,36453.0,-137.06,35994.0,-139.93,35398.0,-158.2
38079.0,-165.06,37506.0,-126.98,37048.0,-142.24,36445.0,-140.35
39152.0,-146.51,38566.0,-106.12,38095.0,-168.07,37561.0,-156.73
40204.0,-140.63,39628.0,-48.23,39152.0,-146.51,38542.0,-146.86
41287.0,-126.84,40680.0,-66.22,40189.0,-141.05,39597.0,-141.89
42328.0,-143.78,41728.0,-141.82,41271.0,-133.91,40657.0,-138.25
43392.0,-144.41,42783.0,-146.65,42336.0,-143.99,41728.0,-141.82
44426.0,-137.27,43846.0,-128.94,43376.0,-152.18,42790.0,-151.13
45526.0,-98.14,44898.0,-120.19,44434.0,-138.18,43839.0,-134.05
46534.0,-141.96,45975.0,-85.4,45487.0,-119.91,44945.0,-139.65
47625.0,-139.09,47029.0,-105.7,46550.0,-144.76,45952.0,-138.67
48703.0,-130.34,48106.0,-60.27,47625.0,-139.09,47014.0,-144.27
49796.0,-110.25,49161.0,-115.01,48695.0,-131.81,48083.0,-133.98
,,,,49780.0,-119.7,49216.0,-133.98
