TO time detected,TO value detected,IC time detected,IC value detected,actual TO time,actual TO value,actual IC time,actual IC value
3754.0,-84.14,3157.0,-87.29,2667.0,-104.58,1953.0,-110.88
5085.0,-82.67,4364.0,-126.28,3862.0,-124.25,3180.0,-116.34
6258.0,-113.89,5575.0,-107.73,5062.0,-95.2,4356.0,-128.94
7406.0,-90.51,6709.0,-136.78,6250.0,-117.18,5567.0,-109.97
8501.0,-102.97,7850.0,-124.67,7383.0,-116.55,6701.0,-138.67
9621.0,-102.9,8953.0,-137.62,8478.0,-120.89,7842.0,-125.16
10785.0,-110.46,10096.0,-124.46,9598.0,-115.29,8961.0,-144.27
11941.0,-106.82,11237.0,-115.15,10762.0,-126.63,10088.0,-125.44
13097.0,-115.64,12423.0,-126.21,11926.0,-117.6,11237.0,-115.15
14133.0,-127.96,13530.0,-155.05,13082.0,-129.01,12423.0,-126.21
15222.0,-17.08,14572.0,-176.54,14118.0,-144.34,13530.0,-155.05
16233.0,-112.91,15615.0,-154.98,15153.0,-131.6,14565.0,-189.84
17279.0,-118.65,16676.0,-142.45,16211.0,-143.36,15608.0,-175.84
18334.0,-134.12,17737.0,-105.63,17264.0,-128.59,16668.0,-158.9
19423.0,-106.54,18808.0,-45.36,18318.0,-140.35,17776.0,-146.44
20488.0,-129.57,19887.0,-46.48,19400.0,-122.85,18784.0,-157.64
21577.0,-123.76,20963.0,-59.85,20473.0,-138.95,19864.0,-152.6
22653.0,-108.85,22023.0,-140.84,21570.0,-129.64,20940.0,-162.12
23628.0,-141.33,23107.0,-153.09,22638.0,-121.8,22077.0,-145.46
24589.0,-158.48,24075.0,-30.38,23582.0,-152.95,23092.0,-197.33
25548.0,-164.71,25045.0,-44.52,24582.0,-159.32,24051.0,-188.86
26539.0,-130.13,26002.0,-92.89,25532.0,-170.94,25022.0,-199.29
27499.0,-165.06,26965.0,-132.16,26523.0,-142.8,25986.0,-175.91
28515.0,-150.99,27964.0,-82.32,27499.0,-165.06,26996.0,-155.82
29493.0,-151.69,28965.0,-54.95,28507.0,-152.95,27987.0,-183.89
30472.0,-139.23,29953.0,-41.23,29462.0,-154.28,28942.0,-181.3
31444.0,-148.4,30937.0,-66.15,30433.0,-146.23,29922.0,-189.35
32440.0,-130.9,31905.0,-180.32,31475.0,-157.36,30914.0,-188.23
33426.0,-137.97,32920.0,-45.78,32393.0,-143.08,31952.0,-186.2
34424.0,-152.53,33897.0,-77.0,33410.0,-144.9,32897.0,-186.06
35566.0,-130.55,35016.0,-100.73,34416.0,-152.6,33921.0,-192.29
36608.0,-137.27,36024.0,-58.17,35551.0,-139.3,34915.0,-142.1
37704.0,-135.94,37082.0,-110.6,36616.0,-140.0,36001.0,-150.08
38795.0,-123.55,38186.0,-65.52,37697.0,-137.55,37121.0,-150.57
39900.0,-122.85,39287.0,-89.67,38810.0,-125.79,38170.0,-145.18
40978.0,-134.61,40388.0,-56.7,39892.0,-125.65,39263.0,-152.04
42084.0,-128.8,41462.0,-146.09,40985.0,-136.43,40365.0,-141.05
43220.0,-101.29,42544.0,-138.39,42092.0,-130.97,41454.0,-146.37
44366.0,-98.14,43661.0,-154.35,43204.0,-116.69,42551.0,-145.67
45650.0,-81.62,44911.0,-74.83,44343.0,-109.41,43661.0,-154.35
47040.0,-80.85,46202.0,-39.83,45627.0,-92.61,44847.0,-96.95
48295.0,-110.39,47538.0,-86.45,47009.0,-91.91,46172.0,-73.5
49590.0,-98.98,48824.0,-76.58,48318.0,-119.28,47545.0,-88.13
50929.0,-56.84,50104.0,-90.79,49605.0,-103.81,48847.0,-90.58
52211.0,-91.0,51413.0,-82.25,50871.0,-78.05,50119.0,-97.72
,,,,52188.0,-104.79,51406.0,-90.51
