Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
205.24,2548.0,,,,,,,,,,
205.87,3708.0,,,,,,,,,,
185.36,4757.0,,,,,,,,,,
215.74,5949.0,,,,,,,,,,
225.47,7183.0,,,,,,,,,,
204.47,8328.0,,,,,,,,,,
206.08,9463.0,,,,,,,,,,
224.35,10596.0,,,,,,,,,,
226.8,11651.0,,,,,,,,,,
243.04,12808.0,,,,,,,,,,
211.61,13933.0,,,,,,,,,,
212.17,14995.0,,,,,,,,,,
222.74,16117.0,,,,,,,,,,
235.9,17323.0,,,,,,,,,,
211.68,18431.0,,,,,,,,,,
227.99,19538.0,,,,,,,,,,
218.96,20634.0,,,,,,,,,,
220.29,21737.0,,,,,,,,,,
208.18,22831.0,,,,,,,,,,
215.74,23967.0,,,,,,,,,,
217.77,25117.0,,,,,,,,,,
213.99,26254.0,,,,,,,,,,
213.78,27326.0,,,,,,,,,,
217.42,28458.0,,,,,,,,,,
205.8,29600.0,,,,,,,,,,
222.04,30746.0,,,,,,,,,,
206.22,31894.0,,,,,,,,,,
213.71,32989.0,,,,,,,,,,
209.37,34101.0,,,,,,,,,,
212.66,35205.0,,,,,,,,,,
214.06,36319.0,,,,,,,,,,
225.26,37406.0,,,,,,,,,,
210.0,38575.0,,,,,,,,,,
219.24,39690.0,,,,,,,,,,
220.64,40809.0,,,,,,,,,,
208.6,41902.0,,,,,,,,,,
215.95,43030.0,,,,,,,,,,
220.15,44124.0,,,,,,,,,,
206.99,45277.0,,,,,,,,,,
218.82,46442.0,,,,,,,,,,
215.04,47560.0,,,,,,,,,,
224.84,48730.0,,,,,,,,,,
223.65,49830.0,,,,,,,,,,
235.41,50914.0,,,,,,,,,,
194.32,52048.0,,,,,,,,,,
223.16,53181.0,,,,,,,,,,
224.56,54320.0,,,,,,,,,,
200.2,55429.0,,,,,,,,,,
