TO time detected,TO value detected,IC time detected,IC value detected,actual TO time,actual TO value,actual IC time,actual IC value
4424.0,-102.34,3706.0,-45.5,3188.0,-124.25,2573.0,-63.28
5664.0,-108.64,5141.0,-72.59,4447.0,-108.08,3872.0,-100.66
6923.0,-115.43,6370.0,-66.99,5687.0,-117.81,5125.0,-93.31
8222.0,-110.6,7616.0,-74.9,6962.0,-124.88,6347.0,-79.8
9542.0,-108.71,8882.0,-72.03,8207.0,-112.35,7608.0,-76.3
10769.0,-111.58,10171.0,-88.55,9511.0,-116.34,8906.0,-87.99
11984.0,-121.24,11415.0,-69.37,10753.0,-115.78,10178.0,-94.43
13314.0,-111.16,12684.0,-73.57,12000.0,-127.68,11375.0,-91.49
14596.0,-129.08,13967.0,-70.84,13290.0,-116.76,12653.0,-82.25
15897.0,-106.96,15242.0,-60.13,14596.0,-129.08,13833.0,-78.19
17136.0,-112.98,16497.0,-76.58,15874.0,-112.7,15266.0,-77.84
18387.0,-124.46,17719.0,-61.6,17128.0,-113.47,16482.0,-79.17
19632.0,-109.76,19002.0,-58.94,18394.0,-125.3,17648.0,-85.82
20916.0,-123.55,20214.0,-15.68,19671.0,-121.52,18931.0,-87.99
22150.0,-121.94,21548.0,-63.91,20908.0,-124.67,20317.0,-83.37
23369.0,-107.03,22701.0,-65.31,22134.0,-127.05,21446.0,-76.72
24621.0,-128.31,24016.0,-67.83,23346.0,-118.44,22763.0,-96.39
25900.0,-105.07,25273.0,-71.05,24621.0,-128.31,23905.0,-94.15
27125.0,-113.19,26497.0,-36.4,25884.0,-109.62,25163.0,-97.02
28380.0,-125.65,27772.0,-71.89,27133.0,-113.26,26535.0,-82.53
29594.0,-128.59,28995.0,-70.28,28411.0,-131.81,27788.0,-89.95
30862.0,-109.97,30233.0,-68.6,29594.0,-128.59,29010.0,-87.71
32187.0,-107.94,31509.0,-106.89,30838.0,-120.89,30256.0,-97.02
33405.0,-119.77,32804.0,-83.44,32156.0,-121.59,31509.0,-106.89
34596.0,-134.19,34041.0,-70.21,33390.0,-122.64,32667.0,-91.07
35830.0,-121.8,35218.0,-69.16,34611.0,-143.85,33923.0,-85.61
37076.0,-118.51,36454.0,-66.43,35815.0,-125.37,35250.0,-86.94
38358.0,-65.59,37689.0,-75.46,37060.0,-128.24,36478.0,-95.27
39643.0,-112.14,38974.0,-89.95,38296.0,-95.34,37705.0,-104.93
40931.0,-73.78,40270.0,-79.94,39619.0,-115.22,38974.0,-89.95
42116.0,-99.4,41604.0,-51.03,40877.0,-96.25,40254.0,-92.33
43410.0,-116.13,42784.0,-61.74,42162.0,-121.17,41417.0,-75.11
44647.0,-107.94,44009.0,-61.6,43433.0,-118.51,42690.0,-72.24
45902.0,-101.15,45135.0,-80.57,44624.0,-114.94,43914.0,-91.56
47135.0,-100.03,46442.0,-25.83,45863.0,-117.6,45269.0,-90.51
48427.0,-96.39,47710.0,-4.76,47112.0,-112.21,46403.0,-83.51
49718.0,-71.33,49042.0,-62.37,48396.0,-111.65,47672.0,-87.08
50881.0,-111.44,50178.0,-74.97,49664.0,-105.21,48941.0,-81.62
52107.0,-126.28,51421.0,-10.08,50865.0,-112.84,50279.0,-92.12
53238.0,-131.32,52664.0,-63.21,52107.0,-126.28,51516.0,-80.99
54498.0,-120.96,53843.0,-66.08,53238.0,-131.32,52577.0,-105.28
55663.0,-129.08,55064.0,-87.71,54498.0,-120.96,53890.0,-107.87
56854.0,-124.46,56245.0,-82.95,55655.0,-129.64,55087.0,-106.96
57999.0,-132.37,57420.0,-78.54,56846.0,-124.95,56135.0,-102.9
59128.0,-120.47,58574.0,-81.76,58015.0,-134.19,57325.0,-114.24
60330.0,-117.95,59631.0,-89.46,59159.0,-123.27,58480.0,-107.73
61463.0,-139.79,60787.0,-109.76,60299.0,-130.69,59616.0,-95.41
62638.0,-122.43,61914.0,-91.84,61455.0,-143.22,60779.0,-115.64
63768.0,-117.6,63064.0,-99.61,62600.0,-134.61,61914.0,-91.84
64915.0,-111.02,64231.0,-102.9,63745.0,-125.3,63071.0,-107.17
66074.0,-117.67,65396.0,-121.59,64884.0,-119.84,64231.0,-102.9
67233.0,-122.78,66586.0,-68.88,66082.0,-117.95,65396.0,-121.59
68385.0,-126.21,67765.0,-100.45,67257.0,-133.0,66570.0,-106.96
