TO time,TO value,IC time,IC value,ogTO time,ogTO value
5481.0,10.29,4477.0,1.82,5481.0,0
6815.0,10.29,5870.0,-26.53,6815.0,0
8066.0,-7.63,7172.0,-36.12,8066.0,0
9386.0,5.95,8477.0,-30.45,9386.0,0
10658.0,12.32,9782.0,-25.97,10658.0,0
11914.0,4.34,11021.0,-26.39,11914.0,0
13259.0,19.46,12326.0,-41.3,13259.0,0
14525.0,21.49,13609.0,-36.47,14525.0,0
15811.0,14.91,14893.0,-33.6,15811.0,0
17076.0,13.09,16163.0,-23.17,17076.0,0
18122.0,31.78,17396.0,-49.14,18122.0,0
19234.0,6.16,18483.0,0.07,19234.0,0
20290.0,7.49,19551.0,-48.23,20290.0,0
21308.0,9.1,20608.0,-65.24,21308.0,0
22407.0,23.87,21666.0,-53.41,22407.0,0
23432.0,24.99,22707.0,-60.13,23432.0,0
24437.0,28.63,23728.0,-51.38,24437.0,0
25458.0,25.83,24730.0,0.28,25458.0,0
26487.0,36.68,25759.0,-61.88,26487.0,0
27499.0,22.75,26781.0,-53.83,27499.0,0
28471.0,12.46,27809.0,-40.95,28471.0,0
29492.0,8.4,28814.0,-52.36,29492.0,0
30543.0,26.95,29825.0,-56.14,30543.0,0
31569.0,18.55,30836.0,-40.74,31569.0,0
32469.0,18.2,31847.0,-49.91,32469.0,0
33401.0,22.82,32793.0,-70.91,33401.0,0
34332.0,28.63,33719.0,-49.14,34332.0,0
35278.0,12.11,34649.0,-76.02,35278.0,0
36193.0,7.49,35564.0,-36.96,36193.0,0
37136.0,27.65,36487.0,-56.77,37136.0,0
38076.0,17.71,37437.0,-74.62,38076.0,0
38986.0,8.47,38370.0,-53.2,38986.0,0
39916.0,6.93,39302.0,-84.07,39916.0,0
40857.0,3.57,40232.0,-51.87,40857.0,0
41830.0,8.4,41182.0,-84.91,41830.0,0
42980.0,27.44,42193.0,-21.35,42980.0,0
44081.0,16.8,43309.0,-51.17,44081.0,0
45255.0,10.57,44453.0,-36.89,45255.0,0
46377.0,20.44,45581.0,0.77,46377.0,0
47492.0,32.41,46685.0,-40.6,47492.0,0
48572.0,9.8,47802.0,-31.57,48572.0,0
49710.0,16.59,48906.0,-31.5,49710.0,0
50870.0,15.61,50036.0,-55.72,50870.0,0
52134.0,4.76,51221.0,-33.46,52134.0,0
53478.0,7.0,52499.0,-22.05,53478.0,0
54778.0,4.9,53812.0,0.63,54778.0,0
56070.0,13.72,55134.0,-35.42,56070.0,0
57406.0,18.83,56419.0,-29.47,57406.0,0
58743.0,7.84,57737.0,-39.27,58743.0,0
60071.0,12.74,59101.0,-25.9,60071.0,0
61414.0,13.02,60427.0,-23.38,61414.0,0
62761.0,10.64,61745.0,-25.97,62761.0,0
63381.0,2.03,63023.0,1.33,63381.0,0
