TO time detected,TO value detected,IC time detected,IC value detected,ogTO time,ogTO value,ogIC time,ogIC value
2221.0,-204.89,1642.0,-151.97,3160.0,0,2664.0,-138.11
3239.0,-218.26,2688.0,-198.94,4166.0,-170.87,3682.0,-150.78
4221.0,-230.23,3705.0,-190.82,5168.0,-177.17,4671.0,-149.1
5247.0,-230.3,4695.0,-203.77,6165.0,-183.33,5675.0,-171.01
6228.0,-232.12,5683.0,-193.69,7182.0,-186.48,6671.0,-155.26
7238.0,-220.43,6686.0,-198.17,8209.0,-184.24,7696.0,-163.03
8280.0,-223.58,7704.0,-179.27,9229.0,-182.07,8715.0,-175.84
9293.0,-214.2,8723.0,-194.67,10242.0,-178.01,9737.0,-177.8
10298.0,-216.58,9745.0,-196.7,11276.0,-177.1,10749.0,-158.2
11339.0,-212.31,10765.0,-213.29,12287.0,-185.01,11790.0,-183.33
12342.0,-225.33,11798.0,-205.31,13307.0,-183.33,12793.0,-161.42
13377.0,-229.6,12809.0,-200.62,14335.0,-179.48,13821.0,-157.29
14413.0,-222.32,13837.0,-177.59,15351.0,-179.41,14846.0,-169.26
15430.0,-223.58,14854.0,-188.3,16387.0,-180.74,15858.0,-179.13
16467.0,-217.98,15874.0,-220.22,17414.0,-183.68,16902.0,-178.43
17485.0,-218.96,16910.0,-194.6,18435.0,-187.53,17930.0,-195.86
18506.0,-223.44,17930.0,-195.86,19441.0,-177.24,18935.0,-155.61
19504.0,-217.21,18951.0,-197.68,20473.0,-186.27,19963.0,-160.09
20529.0,-219.66,19979.0,-177.31,21484.0,-178.5,20986.0,-177.66
21539.0,-211.26,20994.0,-186.76,22506.0,-178.71,21991.0,-174.16
22586.0,-219.38,21999.0,-193.62,23514.0,-183.75,23015.0,-164.22
23578.0,-241.78,23031.0,-199.08,24542.0,-181.72,24029.0,-155.33
24597.0,-219.94,24045.0,-185.29,25564.0,-184.38,25047.0,-174.16
25642.0,-219.8,25055.0,-200.34,26590.0,-182.35,26069.0,-174.58
26661.0,-216.02,26077.0,-194.81,27601.0,-179.55,27097.0,-184.8
27664.0,-226.31,27105.0,-206.71,28636.0,-185.64,28123.0,-178.99
28699.0,-220.5,28131.0,-194.39,29655.0,-183.82,29143.0,-170.31
29733.0,-221.27,29151.0,-186.9,30675.0,-181.23,30160.0,-184.1
30730.0,-225.4,30169.0,-197.26,31694.0,-187.18,31189.0,-169.47
31765.0,-232.75,31197.0,-182.28,32725.0,-184.03,32202.0,-174.93
32796.0,-224.56,32211.0,-195.79,33726.0,-181.58,33222.0,-169.68
33797.0,-229.11,33238.0,-200.97,34743.0,-182.42,34230.0,-172.55
34815.0,-221.13,34238.0,-198.38,35770.0,-181.86,35257.0,-180.04
35842.0,-230.79,35265.0,-192.08,36786.0,-178.43,36288.0,-171.85
36857.0,-222.04,36296.0,-177.1,37825.0,-185.64,37296.0,-155.54
37897.0,-221.2,37312.0,-187.67,38853.0,-186.13,38329.0,-171.85
38923.0,-218.75,38337.0,-193.55,39880.0,-178.08,39353.0,-171.85
39958.0,-213.85,39361.0,-194.88,40901.0,-187.6,40403.0,-172.48
40979.0,-229.88,40411.0,-173.18,41934.0,-186.62,41410.0,-157.92
42011.0,-212.24,41425.0,-198.45,42936.0,-179.62,42426.0,-168.49
42991.0,-227.29,42434.0,-191.8,43961.0,-178.15,43431.0,-159.6
44040.0,-215.81,43447.0,-197.12,44996.0,-180.18,44483.0,-174.23
45075.0,-215.18,44491.0,-180.46,46044.0,-178.36,45515.0,-165.06
46123.0,-218.05,45523.0,-187.67,47096.0,-180.67,46567.0,-164.64
47167.0,-218.61,46575.0,-180.04,48133.0,-184.8,47601.0,-169.26
48199.0,-215.04,47617.0,-193.9,49204.0,-178.01,48659.0,-170.94
49275.0,-232.75,48667.0,-176.33,,,49783.0,-87.15
