Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
293.16,9338.0,,,,,,,,,,
310.73,10501.0,,,,,,,,,,
323.68,11598.0,,,,,,,,,,
330.54,12720.0,,,,,,,,,,
323.26,13865.0,,,,,,,,,,
296.59,15014.0,,,,,,,,,,
325.43,16180.0,,,,,,,,,,
316.82,17304.0,,,,,,,,,,
332.15,18386.0,,,,,,,,,,
344.75,19478.0,,,,,,,,,,
329.7,20578.0,,,,,,,,,,
328.37,21686.0,,,,,,,,,,
359.24,22784.0,,,,,,,,,,
328.23,23854.0,,,,,,,,,,
341.11,24963.0,,,,,,,,,,
335.93,26060.0,,,,,,,,,,
345.52,27142.0,,,,,,,,,,
322.14,28262.0,,,,,,,,,,
328.93,29370.0,,,,,,,,,,
368.97,30467.0,,,,,,,,,,
367.92,31557.0,,,,,,,,,,
332.71,32668.0,,,,,,,,,,
357.21,33759.0,,,,,,,,,,
357.0,34836.0,,,,,,,,,,
383.25,35919.0,,,,,,,,,,
337.33,36951.0,,,,,,,,,,
348.74,38053.0,,,,,,,,,,
336.7,39106.0,,,,,,,,,,
342.09,40170.0,,,,,,,,,,
371.14,41239.0,,,,,,,,,,
347.48,42339.0,,,,,,,,,,
364.0,43411.0,,,,,,,,,,
354.97,44516.0,,,,,,,,,,
348.18,45605.0,,,,,,,,,,
325.01,46702.0,,,,,,,,,,
333.69,47812.0,,,,,,,,,,
336.07,48925.0,,,,,,,,,,
334.88,50058.0,,,,,,,,,,
331.45,51151.0,,,,,,,,,,
340.41,52273.0,,,,,,,,,,
336.07,53403.0,,,,,,,,,,
346.01,54533.0,,,,,,,,,,
345.52,55633.0,,,,,,,,,,
350.91,56715.0,,,,,,,,,,
328.51,57845.0,,,,,,,,,,
318.92,58986.0,,,,,,,,,,
343.14,60096.0,,,,,,,,,,
342.09,61221.0,,,,,,,,,,
332.36,62320.0,,,,,,,,,,
332.92,63415.0,,,,,,,,,,
