Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
332.01,2199.0,,,,,,,,,,
376.46,3201.0,,,,,,,,,,
354.41,4120.0,,,,,,,,,,
376.39,5025.0,,,,,,,,,,
383.88,5918.0,,,,,,,,,,
361.76,6812.0,,,,,,,,,,
351.54,7700.0,,,,,,,,,,
365.19,8612.0,,,,,,,,,,
361.9,9510.0,,,,,,,,,,
364.56,10425.0,,,,,,,,,,
358.47,11326.0,,,,,,,,,,
366.1,12231.0,,,,,,,,,,
344.47,13105.0,,,,,,,,,,
359.52,14033.0,,,,,,,,,,
371.0,14954.0,,,,,,,,,,
366.52,15862.0,,,,,,,,,,
367.22,16765.0,,,,,,,,,,
357.07,17675.0,,,,,,,,,,
346.36,18599.0,,,,,,,,,,
354.48,19534.0,,,,,,,,,,
354.41,20450.0,,,,,,,,,,
375.27,21377.0,,,,,,,,,,
373.24,22321.0,,,,,,,,,,
356.44,23277.0,,,,,,,,,,
374.08,24241.0,,,,,,,,,,
358.89,25176.0,,,,,,,,,,
355.32,26108.0,,,,,,,,,,
365.19,27066.0,,,,,,,,,,
354.48,27985.0,,,,,,,,,,
367.43,28910.0,,,,,,,,,,
351.68,29843.0,,,,,,,,,,
367.78,30796.0,,,,,,,,,,
354.97,31731.0,,,,,,,,,,
355.39,32698.0,,,,,,,,,,
353.29,33650.0,,,,,,,,,,
360.08,34609.0,,,,,,,,,,
370.02,35592.0,,,,,,,,,,
