Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay
208.18,2803.0,,,,,,,,,,
252.49,4123.0,,,,,,,,,,
210.07,5428.0,,,,,,,,,,
246.89,6722.0,,,,,,,,,,
247.87,8038.0,,,,,,,,,,
207.9,9334.0,,,,,,,,,,
241.85,10644.0,,,,,,,,,,
248.57,11957.0,,,,,,,,,,
257.18,13252.0,,,,,,,,,,
289.52,14419.0,,,,,,,,,,
287.42,15561.0,,,,,,,,,,
295.33,16661.0,,,,,,,,,,
307.93,17766.0,,,,,,,,,,
296.52,18866.0,,,,,,,,,,
305.13,19973.0,,,,,,,,,,
312.9,21078.0,,,,,,,,,,
304.22,22162.0,,,,,,,,,,
312.48,23273.0,,,,,,,,,,
320.88,24347.0,,,,,,,,,,
367.08,25354.0,,,,,,,,,,
363.58,26292.0,,,,,,,,,,
367.64,27224.0,,,,,,,,,,
366.52,28156.0,,,,,,,,,,
345.66,29100.0,,,,,,,,,,
372.68,30046.0,,,,,,,,,,
352.1,30974.0,,,,,,,,,,
366.24,31923.0,,,,,,,,,,
359.1,32878.0,,,,,,,,,,
362.88,33828.0,,,,,,,,,,
346.5,34777.0,,,,,,,,,,
383.39,35745.0,,,,,,,,,,
266.0,36809.0,,,,,,,,,,
302.68,37950.0,,,,,,,,,,
318.78,39057.0,,,,,,,,,,
304.92,40198.0,,,,,,,,,,
301.21,41350.0,,,,,,,,,,
277.48,42520.0,,,,,,,,,,
233.17,43762.0,,,,,,,,,,
233.66,45090.0,,,,,,,,,,
255.78,46372.0,,,,,,,,,,
232.47,47671.0,,,,,,,,,,
258.51,49005.0,,,,,,,,,,
243.18,50340.0,,,,,,,,,,
253.19,51709.0,,,,,,,,,,
