TO time,TO value,IC time,IC value,ogTO time,ogTO value
7396.0,-66.29,6473.0,-53.97,7396.0,0
9033.0,-76.72,8041.0,-52.08,8963.0,-65.87
10556.0,-0.77,9585.0,-50.19,10440.0,-67.83
11939.0,-98.14,11045.0,-51.66,11877.0,-69.58
13352.0,-34.51,12458.0,-74.48,13352.0,0
14785.0,-70.42,13848.0,-71.96,14730.0,-68.18
16172.0,-63.42,15280.0,-77.49,16133.0,-68.53
17493.0,-87.29,16652.0,-63.07,17432.0,-60.97
19014.0,-59.64,18098.0,-68.74,19014.0,0
20389.0,-77.0,19533.0,-71.82,20320.0,-64.33
21772.0,-54.67,20908.0,-66.08,21703.0,-66.92
23067.0,-94.85,22244.0,-61.67,22997.0,-62.37
24393.0,-76.16,23581.0,-71.26,24331.0,-72.45
25742.0,-58.17,24860.0,-71.96,25711.0,-71.47
27028.0,-79.73,26209.0,-70.21,26950.0,-71.26
28287.0,-75.11,27515.0,-72.17,28279.0,-88.55
29611.0,-87.08,28837.0,-73.85,29549.0,-69.86
31063.0,-76.37,30212.0,-75.11,31040.0,-77.84
32378.0,-68.39,31552.0,-80.08,32317.0,-73.22
33693.0,-77.28,32850.0,-73.92,33646.0,-69.93
35001.0,-79.38,34172.0,-84.56,34924.0,-72.17
36312.0,-65.1,35474.0,-73.99,36288.0,-70.49
37605.0,-68.11,36785.0,-72.38,37528.0,-69.02
38883.0,-74.69,38078.0,-73.92,38822.0,-70.07
40136.0,-103.95,39350.0,-75.81,40067.0,-70.63
41450.0,-63.07,40637.0,-76.44,41450.0,0
42763.0,-71.61,41923.0,-78.96,42709.0,-76.37
44068.0,-97.44,43244.0,-72.24,43998.0,-73.01
45363.0,-74.55,44538.0,-75.11,45317.0,-75.25
46627.0,-76.65,45828.0,-72.8,46587.0,-71.96
47946.0,-78.54,47114.0,-76.65,47884.0,-74.48
49231.0,-85.33,48411.0,-79.52,49161.0,-74.9
50547.0,-84.63,49719.0,-82.11,50501.0,-78.61
51860.0,-77.56,51036.0,-86.45,51822.0,-82.46
53154.0,-76.51,52332.0,-88.2,53131.0,-82.88
54348.0,-100.52,53614.0,-74.2,54287.0,-72.8
55606.0,-80.01,54850.0,-87.01,55584.0,-81.97
56890.0,-64.47,56089.0,-85.89,56867.0,-77.63
58149.0,-83.09,57349.0,-77.21,58104.0,-75.18
59434.0,-61.18,58610.0,-77.56,59411.0,-73.71
60600.0,-102.13,59882.0,-77.91,60531.0,-66.57
61916.0,-87.5,61102.0,-80.71,61870.0,-78.75
63207.0,-83.79,62412.0,-81.13,63184.0,-83.02
64512.0,-83.93,63696.0,-83.72,64466.0,-83.65
65786.0,-79.73,64976.0,-81.9,65763.0,-78.89
67050.0,-71.26,66273.0,-83.3,67027.0,-77.63
68341.0,-65.1,67524.0,-75.74,68294.0,-76.58
69661.0,-69.72,68805.0,-74.55,69600.0,-74.83
71017.0,-69.58,70143.0,-77.28,70978.0,-76.09
72393.0,-71.19,71520.0,-79.52,72346.0,-75.18
,,72986.0,-35.77,,
