TO time,TO value,IC time,IC value
2842.0,-153.65,2333.0,-157.36
3398.0,-177.87,3312.0,-169.82
4317.0,-182.21,4231.0,-182.49
5222.0,-186.83,5136.0,-167.72
6121.0,-169.33,6035.0,-168.91
7008.0,-194.53,6922.0,-185.57
7911.0,-175.07,7826.0,-174.51
8823.0,-172.69,8737.0,-167.93
9715.0,-185.99,9629.0,-163.59
10630.0,-196.91,10544.0,-169.75
11531.0,-171.15,11445.0,-180.6
12428.0,-187.18,12342.0,-187.25
13326.0,-196.0,13240.0,-169.54
14238.0,-182.21,14153.0,-154.07
15150.0,-203.63,15065.0,-186.55
16074.0,-193.13,15988.0,-188.65
16977.0,-205.03,16892.0,-181.79
17895.0,-187.53,17809.0,-156.87
18818.0,-177.59,18733.0,-174.58
19738.0,-202.3,19652.0,-172.76
20662.0,-173.39,20576.0,-155.82
21591.0,-185.08,21503.0,-182.21
22533.0,-181.23,22448.0,-170.59
23487.0,-172.34,23402.0,-167.44
24453.0,-182.07,24367.0,-178.08
25387.0,-178.57,25302.0,-178.15
26319.0,-169.82,26233.0,-151.62
27262.0,-175.07,27177.0,-166.11
28182.0,-185.36,28097.0,-165.97
29106.0,-194.04,29021.0,-163.66
30050.0,-194.25,29963.0,-176.75
30992.0,-176.05,30907.0,-172.76
31942.0,-179.76,31857.0,-150.15
32919.0,-180.32,32833.0,-179.06
33855.0,-165.83,33770.0,-166.74
34819.0,-169.82,34734.0,-170.1
35794.0,-174.51,35709.0,-159.18
36766.0,-172.83,36682.0,-152.39
