TO time,TO value,IC time,IC value
5081.0,-91.35,4274.0,-89.04
6274.0,-87.92,5515.0,-88.9
7443.0,-93.94,6693.0,-107.8
8660.0,-97.3,7876.0,-91.63
9848.0,-99.82,9094.0,-96.04
11064.0,-97.16,10283.0,-102.48
12274.0,-89.53,11499.0,-98.56
13480.0,-100.87,12714.0,-110.53
14684.0,-101.36,13920.0,-115.36
15869.0,-101.78,15119.0,-101.78
17055.0,-93.87,16304.0,-115.64
18281.0,-102.2,17487.0,-107.73
19482.0,-96.53,18713.0,-105.21
20694.0,-92.96,19914.0,-99.54
21883.0,-93.59,21117.0,-108.36
23075.0,-97.09,22318.0,-96.46
24271.0,-107.45,23501.0,-101.43
25506.0,-94.57,24728.0,-116.9
26702.0,-97.58,25922.0,-102.69
27884.0,-106.26,27134.0,-117.25
29061.0,-101.57,28318.0,-102.69
30270.0,-107.73,29496.0,-98.14
31462.0,-106.33,30702.0,-107.66
32684.0,-95.34,31911.0,-111.79
33910.0,-103.88,33126.0,-110.88
35121.0,-101.43,34343.0,-107.8
36315.0,-102.55,35555.0,-99.54
37526.0,-100.8,36744.0,-100.73
38772.0,-92.26,37969.0,-114.17
39977.0,-90.23,39212.0,-112.56
41165.0,-91.28,40393.0,-101.92
42358.0,-92.75,41585.0,-100.8
43556.0,-98.77,42784.0,-116.62
44780.0,-101.5,43989.0,-121.45
45962.0,-100.03,45207.0,-107.66
47143.0,-97.37,46386.0,-113.89
48324.0,-98.0,47568.0,-95.2
49514.0,-103.18,48744.0,-112.0
50696.0,-98.42,49940.0,-101.01
51882.0,-100.94,51120.0,-114.38
53068.0,-101.71,52306.0,-107.45
54267.0,-109.55,53512.0,-114.1
55520.0,-98.35,54711.0,-111.37
56718.0,-99.75,55954.0,-107.17
57947.0,-102.06,57151.0,-110.04
59195.0,-92.05,58382.0,-103.11
60398.0,-102.34,59619.0,-108.29
61723.0,-103.88,60866.0,-104.44
