TO time,TO value,IC time,IC value
3116.0,-101.36,3029.0,-101.57
4367.0,-108.15,4282.0,-103.04
5609.0,-112.63,5523.0,-110.53
6779.0,-102.9,6693.0,-107.8
7970.0,-107.38,7884.0,-114.24
9188.0,-103.67,9102.0,-118.86
10377.0,-101.43,10283.0,-102.48
11593.0,-107.87,11507.0,-118.16
12800.0,-103.6,12714.0,-110.53
14006.0,-109.48,13920.0,-115.36
15213.0,-102.13,15119.0,-101.78
16391.0,-119.7,16304.0,-115.64
17572.0,-102.06,17487.0,-107.73
18799.0,-109.2,18713.0,-105.21
20008.0,-104.51,19922.0,-119.42
21203.0,-100.52,21117.0,-108.36
22412.0,-113.47,22326.0,-115.57
23610.0,-107.66,23501.0,-101.43
24814.0,-106.89,24720.0,-100.17
26007.0,-102.2,25922.0,-102.69
27220.0,-135.8,27134.0,-117.25
28405.0,-115.64,28318.0,-102.69
29597.0,-108.57,29503.0,-115.92
30788.0,-122.64,30702.0,-107.66
31996.0,-113.26,31911.0,-111.79
33208.0,-107.31,33126.0,-110.88
34430.0,-108.85,34343.0,-107.8
35658.0,-102.69,35563.0,-117.6
36854.0,-101.36,36744.0,-100.73
38055.0,-110.74,37969.0,-114.17
39313.0,-102.9,39212.0,-112.56
40478.0,-103.74,40393.0,-101.92
41670.0,-106.47,41585.0,-100.8
42870.0,-100.24,42784.0,-116.62
44077.0,-104.37,43989.0,-121.45
45292.0,-107.73,45207.0,-107.66
46472.0,-117.46,46386.0,-113.89
47661.0,-112.42,47576.0,-114.1
48830.0,-124.04,48744.0,-112.0
50049.0,-100.1,49940.0,-101.01
51205.0,-101.22,51120.0,-114.38
52391.0,-122.71,52306.0,-107.45
53598.0,-119.63,53512.0,-114.1
54797.0,-102.48,54711.0,-111.37
56040.0,-107.87,55954.0,-107.17
57261.0,-111.02,57151.0,-110.04
58467.0,-100.8,58382.0,-103.11
59704.0,-107.1,59619.0,-108.29
