TO time,TO value,IC time,IC value
5040.0,-123.69,4210.0,-71.4
6373.0,-111.3,5537.0,-90.3
7802.0,-115.15,6910.0,-72.38
9117.0,-113.33,8315.0,-92.05
10424.0,-111.23,9598.0,-85.61
11733.0,-105.84,10916.0,-83.23
13073.0,-112.14,12223.0,-83.93
14444.0,-108.57,13573.0,-94.5
15827.0,-116.13,14957.0,-90.86
17162.0,-103.88,16314.0,-94.5
18424.0,-112.63,17626.0,-92.82
19746.0,-110.39,18896.0,-93.87
21044.0,-118.72,20220.0,-92.75
22344.0,-116.97,21555.0,-96.81
23680.0,-122.15,22835.0,-96.39
25025.0,-120.54,24181.0,-93.38
26328.0,-117.81,25512.0,-101.78
27631.0,-113.68,26811.0,-99.96
28968.0,-119.56,28126.0,-95.2
30337.0,-115.71,29469.0,-96.18
31628.0,-118.37,30827.0,-98.84
32924.0,-117.18,32123.0,-93.73
34245.0,-109.83,33438.0,-107.1
35583.0,-116.62,34755.0,-94.92
36932.0,-115.08,36097.0,-105.42
38239.0,-111.65,37417.0,-95.69
39568.0,-112.42,38745.0,-98.42
40905.0,-107.03,40081.0,-95.13
42241.0,-107.45,41375.0,-95.2
43592.0,-111.51,42744.0,-88.69
44923.0,-110.74,44103.0,-92.19
46251.0,-114.03,45440.0,-91.49
47650.0,-107.73,46777.0,-93.59
49028.0,-107.52,48170.0,-98.77
50391.0,-104.02,49546.0,-95.9
51797.0,-109.13,50903.0,-89.18
53189.0,-107.38,52341.0,-88.41
54518.0,-89.6,53701.0,-93.87
55838.0,-109.9,54990.0,-84.42
57162.0,-113.54,56328.0,-93.94
58546.0,-103.11,57715.0,-92.05
59892.0,-107.17,59043.0,-95.62
61288.0,-110.88,60419.0,-92.19
62703.0,-107.17,61831.0,-86.38
64010.0,-106.47,63184.0,-87.29
65350.0,-102.55,64489.0,-90.86
66731.0,-99.47,65845.0,-91.28
68125.0,-101.36,67252.0,-94.43
69531.0,-101.92,68645.0,-89.67
70956.0,-105.98,70053.0,-77.91
72410.0,-104.93,71515.0,-67.83
73719.0,-105.35,72896.0,-91.84
,,74276.0,-52.5
