TO time,TO value,IC time,IC value
3690.0,-142.1,3606.0,-100.17
4335.0,-102.9,4226.0,-104.65
5639.0,-100.31,5545.0,-104.37
7794.0,-120.82,7710.0,-100.17
8409.0,-103.88,8323.0,-101.43
9723.0,-100.03,9613.0,-105.77
11609.0,-101.36,10931.0,-102.97
12326.0,-105.91,12239.0,-100.8
13667.0,-102.27,13580.0,-100.31
16322.0,-104.58,15765.0,-101.08
17039.0,-100.52,16330.0,-102.9
17719.0,-105.14,17633.0,-101.43
18990.0,-103.18,18904.0,-109.48
20336.0,-101.08,20228.0,-108.01
22220.0,-100.03,21642.0,-101.99
22928.0,-101.36,22843.0,-107.31
24290.0,-106.19,24189.0,-105.0
25599.0,-104.86,25512.0,-101.78
26904.0,-104.16,26819.0,-110.88
28884.0,-100.24,28204.0,-105.14
30253.0,-103.11,29477.0,-105.91
30927.0,-104.16,30834.0,-104.72
32223.0,-103.25,32131.0,-109.83
33524.0,-112.77,33438.0,-107.1
34849.0,-100.52,34763.0,-102.69
36199.0,-104.09,36097.0,-105.42
37533.0,-102.34,37425.0,-109.34
38838.0,-100.38,38753.0,-102.34
40791.0,-102.69,40174.0,-100.94
41476.0,-103.53,41382.0,-124.18
42852.0,-100.66,42759.0,-103.32
44831.0,-102.41,44196.0,-100.38
46158.0,-101.08,45519.0,-101.36
47570.0,-100.87,46879.0,-104.65
48944.0,-100.59,48255.0,-101.57
50283.0,-100.52,49640.0,-102.97
51019.0,-104.58,50910.0,-100.17
53166.0,-122.36,53082.0,-101.64
53795.0,-111.44,53709.0,-104.65
55091.0,-100.38,55005.0,-104.51
56430.0,-101.85,56336.0,-104.37
59051.0,-106.96,58469.0,-103.74
59145.0,-101.5,59058.0,-104.37
61202.0,-101.71,60551.0,-101.36
62618.0,-105.28,61846.0,-101.99
63293.0,-100.59,63200.0,-106.12
64583.0,-114.52,64497.0,-101.08
65961.0,-100.24,65852.0,-107.52
68024.0,-100.52,67260.0,-101.5
68739.0,-102.9,68653.0,-100.8
70871.0,-103.04,70131.0,-101.78
72903.0,-101.22,72334.0,-106.4
