TO time,TO value,IC time,IC value
5098.0,-92.96,4257.0,-77.14
6407.0,-96.18,5594.0,-84.42
7739.0,-82.6,6881.0,-84.77
9027.0,-87.57,8189.0,-82.25
10345.0,-91.7,9501.0,-83.79
11650.0,-95.27,10795.0,-76.09
12945.0,-92.68,12108.0,-73.08
14152.0,-80.29,13393.0,-87.92
15278.0,-89.46,14561.0,-83.44
16385.0,-107.87,15688.0,-93.31
17481.0,-117.18,16788.0,-105.28
18581.0,-112.56,17894.0,-113.75
19705.0,-105.84,19009.0,-124.81
20795.0,-116.2,20115.0,-107.31
21897.0,-107.38,21220.0,-123.27
22986.0,-106.68,22311.0,-125.51
24072.0,-111.37,23398.0,-111.3
25107.0,-115.78,24472.0,-105.77
26059.0,-108.78,25478.0,-140.14
26973.0,-136.5,26408.0,-140.0
27900.0,-158.34,27349.0,-192.57
28858.0,-139.37,28282.0,-190.89
29802.0,-140.28,29234.0,-162.89
30723.0,-155.68,30172.0,-183.82
31671.0,-127.12,31100.0,-157.85
32627.0,-135.8,32041.0,-150.57
33568.0,-143.36,32997.0,-180.6
34518.0,-151.34,33954.0,-160.51
35477.0,-140.98,34905.0,-183.12
38781.0,-126.28,35871.0,-180.95
39906.0,-116.34,37612.0,-149.59
41066.0,-105.98,38093.0,-153.86
42232.0,-97.02,39200.0,-119.49
43456.0,-96.88,40347.0,-114.59
44749.0,-89.74,41492.0,-118.3
46065.0,-97.51,42677.0,-121.45
47378.0,-85.47,44014.0,-103.81
48713.0,-88.55,45248.0,-100.31
50040.0,-84.0,46523.0,-89.6
51409.0,-87.43,47868.0,-91.84
52737.0,-87.43,49179.0,-92.75
54167.0,-74.2,50522.0,-93.17
,,51875.0,-98.77
,,53243.0,-93.1
