TO time,TO value,IC time,IC value
19636.0,-151.76,18505.0,-151.13
21813.0,-154.63,20718.0,-152.46
22326.0,-157.85,21821.0,-158.27
23988.0,-155.61,22901.0,-150.78
24488.0,-170.73,23996.0,-160.23
25008.0,-155.75,24495.0,-189.98
25571.0,-186.55,25486.0,-181.79
26500.0,-174.58,26416.0,-185.64
27433.0,-182.56,27349.0,-192.57
28359.0,-169.05,28274.0,-155.4
29319.0,-175.49,29234.0,-162.89
30258.0,-187.74,30172.0,-183.82
31185.0,-182.07,31100.0,-157.85
32126.0,-180.6,32041.0,-150.57
33082.0,-175.0,32997.0,-180.6
34039.0,-171.15,33954.0,-160.51
34990.0,-186.9,34905.0,-183.12
35956.0,-175.56,35871.0,-180.95
38719.0,-153.09,38093.0,-153.86
39852.0,-152.81,39215.0,-154.42
41508.0,-157.57,41012.0,-152.32
