TO time,TO value,IC time,IC value
,,1688.0,-140.77
,,2634.0,-217.42
,,3578.0,-241.01
,,4554.0,-308.21
,,5490.0,-314.3
,,6414.0,-290.64
,,7357.0,-288.75
,,8279.0,-290.22
,,9199.0,-285.11
,,10105.0,-293.65
,,11028.0,-281.19
,,11971.0,-288.54
,,12900.0,-302.75
,,13814.0,-295.47
,,14729.0,-301.0
,,15644.0,-295.19
,,16542.0,-293.58
,,17457.0,-289.73
,,18361.0,-291.34
,,19279.0,-289.87
,,20200.0,-297.29
,,21116.0,-282.66
,,22037.0,-296.66
,,22959.0,-300.02
,,23872.0,-301.98
,,24776.0,-297.57
,,25690.0,-300.72
,,26604.0,-287.0
,,27517.0,-289.87
,,28438.0,-284.97
,,29373.0,-294.42
,,30287.0,-303.73
,,31221.0,-299.74
,,32165.0,-310.03
,,33120.0,-313.81
,,34058.0,-302.89
,,35031.0,-293.58
