TO time,TO value,IC time,IC value
2057.0,-159.39,1970.0,-170.87
2978.0,-174.02,2891.0,-170.1
3899.0,-164.71,3813.0,-152.25
4845.0,-168.98,4758.0,-166.53
5772.0,-182.84,5685.0,-154.14
6711.0,-154.63,6624.0,-150.99
7648.0,-175.7,7562.0,-150.57
8569.0,-167.93,8482.0,-152.74
9492.0,-179.34,9405.0,-173.25
10403.0,-171.15,10317.0,-165.83
11333.0,-154.07,11246.0,-158.69
12268.0,-162.4,12182.0,-153.79
13207.0,-173.88,13120.0,-170.66
14113.0,-192.71,14025.0,-161.28
15027.0,-172.2,14940.0,-166.88
15942.0,-176.68,15855.0,-180.25
16840.0,-188.58,16754.0,-155.61
17747.0,-175.63,17661.0,-161.63
18668.0,-182.14,18582.0,-161.42
19578.0,-172.41,19491.0,-167.72
20505.0,-173.11,20419.0,-158.41
21414.0,-177.66,21328.0,-150.64
22343.0,-168.91,22257.0,-158.13
23257.0,-197.12,23170.0,-167.51
24173.0,-180.04,24086.0,-160.23
25083.0,-197.47,24996.0,-158.9
25980.0,-175.49,25893.0,-152.67
26902.0,-175.35,26815.0,-157.29
27816.0,-167.86,27729.0,-160.09
28752.0,-179.06,28665.0,-164.08
29671.0,-185.71,29585.0,-152.88
30607.0,-188.93,30522.0,-165.69
31520.0,-171.15,31434.0,-159.18
32481.0,-175.07,32393.0,-168.56
33411.0,-170.73,33323.0,-159.81
