TO time,TO value,IC time,IC value
3894.0,-138.74,3745.0,-70.14
4941.0,-116.48,4784.0,-98.84
5971.0,-149.52,5822.0,-90.93
6991.0,-153.3,6849.0,-81.34
8004.0,-156.31,7847.0,0.56
9025.0,-136.01,8876.0,-68.67
10037.0,-147.56,9888.0,-80.29
11045.0,-143.92,10897.0,-84.35
12060.0,-152.46,11902.0,3.15
13087.0,-148.75,12923.0,5.25
14107.0,-164.5,13967.0,-103.11
15139.0,-134.26,14990.0,-73.71
16154.0,-142.52,16004.0,-81.2
17168.0,-140.42,17019.0,-100.1
18201.0,-149.24,18043.0,-79.31
19225.0,-127.82,19075.0,-106.12
20241.0,-155.89,20093.0,-89.46
21213.0,-161.35,21096.0,9.45
22267.0,-169.26,22118.0,-77.49
23310.0,-163.38,23162.0,-71.89
24356.0,-126.7,24198.0,-89.18
25400.0,-165.34,25243.0,-52.85
26417.0,-134.96,26270.0,-69.16
27444.0,-146.79,27287.0,-76.65
28492.0,-150.43,28342.0,-74.34
29532.0,-139.58,29375.0,4.97
30561.0,-132.02,30404.0,2.94
31594.0,-149.59,31445.0,-53.69
32640.0,-159.53,32498.0,2.24
33691.0,-139.37,33525.0,7.56
34710.0,-155.19,34576.0,-71.05
35764.0,-143.64,35615.0,-76.44
36811.0,-121.38,36662.0,-83.37
37850.0,-144.55,37701.0,-61.11
38881.0,-130.27,38732.0,-59.08
39916.0,-154.84,39775.0,-82.25
40987.0,-139.44,40838.0,-66.08
42025.0,-146.23,41858.0,2.73
43076.0,-130.41,42927.0,-54.32
,,43981.0,11.27
