TO time,TO value,IC time,IC value
3863.0,-151.34,3777.0,-159.67
4909.0,-164.57,4799.0,-163.73
5947.0,-151.83,5838.0,-158.97
6967.0,-164.5,6873.0,-160.79
7981.0,-157.08,7879.0,-162.47
9002.0,-164.22,8892.0,-155.68
10013.0,-165.97,9904.0,-154.07
10999.0,-163.59,10913.0,-157.64
12029.0,-158.97,11934.0,-168.63
13064.0,-158.27,12954.0,-155.47
14092.0,-157.99,13982.0,-156.94
15107.0,-159.88,15014.0,-166.39
16130.0,-172.62,16027.0,-171.22
17145.0,-166.81,17035.0,-159.39
18177.0,-168.35,18067.0,-170.66
19178.0,-152.32,19091.0,-154.63
20218.0,-156.24,20116.0,-163.17
21221.0,-161.28,21136.0,-164.01
22228.0,-163.87,22142.0,-161.07
23294.0,-168.7,23186.0,-154.63
24325.0,-155.54,24222.0,-167.51
25352.0,-154.42,25267.0,-156.52
26394.0,-164.22,26294.0,-165.76
27420.0,-154.35,27311.0,-156.59
28468.0,-164.15,28366.0,-170.8
29509.0,-158.06,29407.0,-154.42
30538.0,-170.38,30436.0,-150.29
31570.0,-167.86,31469.0,-153.51
32616.0,-153.23,32529.0,-154.35
33667.0,-159.04,33565.0,-156.31
34686.0,-155.05,34600.0,-165.55
35733.0,-150.43,35639.0,-164.29
36780.0,-153.37,36686.0,-157.5
37819.0,-150.43,37733.0,-160.86
38850.0,-158.97,38764.0,-159.53
39900.0,-151.34,39798.0,-152.95
40947.0,-150.08,40861.0,-156.45
42001.0,-150.5,41906.0,-153.58
,,42966.0,-150.22
