TO time,TO value,IC time,IC value
,,3080.0,-104.16
,,4336.0,-162.19
,,5505.0,-176.96
,,6696.0,-215.74
,,7848.0,-225.05
,,8991.0,-232.4
,,10100.0,-230.02
,,11195.0,-240.52
,,12261.0,-236.6
,,13333.0,-245.63
,,14412.0,-268.38
,,15445.0,-243.39
,,16571.0,-249.06
,,17681.0,-249.06
,,18751.0,-241.29
,,19856.0,-244.65
,,20966.0,-239.54
,,22085.0,-246.26
,,23180.0,-244.86
,,24261.0,-239.12
,,25347.0,-241.85
,,26444.0,-234.92
,,27563.0,-240.17
,,28634.0,-234.64
,,29698.0,-227.71
,,30773.0,-243.39
,,31871.0,-247.94
,,32952.0,-240.1
,,34070.0,-242.83
,,35140.0,-236.25
,,36226.0,-244.23
,,37289.0,-231.91
,,38380.0,-234.78
,,39460.0,-242.41
,,40529.0,-237.93
,,41631.0,-245.91
,,42739.0,-247.1
,,43834.0,-244.58
,,44924.0,-244.3
,,45979.0,-239.26
,,47051.0,-239.96
,,48111.0,-235.76
,,49211.0,-246.82
,,50314.0,-240.17
,,51423.0,-242.97
,,52515.0,-249.83
,,53625.0,-248.85
,,54731.0,-243.39
