TO time,TO value,IC time,IC value
4122.0,-176.54,4037.0,-100.31
5307.0,-181.93,5221.0,-104.23
6381.0,-101.71,5798.0,-107.1
7027.0,-125.23,6940.0,-106.26
8186.0,-104.79,8099.0,-110.88
9320.0,-105.77,9234.0,-101.57
10428.0,-112.07,10342.0,-125.09
11502.0,-121.59,11415.0,-123.97
12566.0,-125.51,12480.0,-108.71
13647.0,-121.17,13560.0,-109.62
14718.0,-136.5,14631.0,-115.85
15759.0,-136.43,15673.0,-114.38
16893.0,-118.09,16806.0,-109.9
17988.0,-112.35,17902.0,-110.39
19074.0,-109.41,18987.0,-102.9
20182.0,-135.66,20095.0,-109.34
21296.0,-109.13,21211.0,-115.85
22399.0,-119.77,22313.0,-116.62
23487.0,-124.53,23400.0,-113.75
24576.0,-123.48,24489.0,-101.08
25655.0,-133.91,25569.0,-106.54
26774.0,-111.3,26687.0,-105.77
27869.0,-104.16,27782.0,-112.0
28957.0,-133.98,28869.0,-120.26
30020.0,-139.09,29934.0,-100.1
31096.0,-102.13,31009.0,-112.7
32178.0,-118.09,32091.0,-106.19
33291.0,-112.63,33203.0,-106.89
34368.0,-123.48,34282.0,-114.8
35448.0,-116.83,35361.0,-118.72
36525.0,-127.05,36437.0,-106.26
37611.0,-117.6,37525.0,-108.15
38695.0,-126.7,38608.0,-124.74
39757.0,-125.58,39671.0,-109.83
40844.0,-126.77,40757.0,-116.9
41952.0,-115.85,41866.0,-118.37
43061.0,-133.28,42974.0,-105.42
44139.0,-126.35,44053.0,-113.96
45225.0,-132.44,45139.0,-115.5
46283.0,-139.16,46198.0,-119.07
47357.0,-124.11,47270.0,-112.84
48416.0,-132.65,48330.0,-114.24
49516.0,-131.46,49430.0,-104.72
50634.0,-125.58,50548.0,-109.13
51737.0,-120.96,51650.0,-105.77
52828.0,-123.62,52743.0,-109.06
53936.0,-111.93,53850.0,-113.12
