TO time,TO value,IC time,IC value
,,3877.0,-122.01
,,5051.0,-173.6
,,6169.0,-190.05
,,7317.0,-235.34
,,8429.0,-237.51
,,9510.0,-235.41
,,10586.0,-239.33
,,11668.0,-249.9
,,12699.0,-251.37
,,13692.0,-262.22
,,14690.0,-268.1
,,15676.0,-279.3
,,16651.0,-276.29
,,17635.0,-279.79
,,18619.0,-276.71
,,19577.0,-269.15
,,20552.0,-270.27
,,21440.0,-276.71
,,22347.0,-287.7
,,23234.0,-294.98
,,24090.0,-309.82
,,24968.0,-306.95
,,25863.0,-321.86
,,26743.0,-307.09
,,27621.0,-295.75
,,28538.0,-297.57
,,29513.0,-301.35
,,30488.0,-303.24
,,31455.0,-283.36
,,32437.0,-272.3
,,33434.0,-266.0
,,34441.0,-268.03
,,35450.0,-259.14
,,36452.0,-268.66
,,37471.0,-255.15
,,38529.0,-254.87
,,39592.0,-247.52
,,40648.0,-247.1
,,41722.0,-245.7
,,42782.0,-242.55
,,43832.0,-246.96
,,44898.0,-241.64
,,46008.0,-238.98
