TO time,TO value,IC time,IC value
4302.0,-100.59,4184.0,-120.82
5413.0,-110.67,5326.0,-112.42
6521.0,-110.88,6436.0,-109.48
7641.0,-120.89,7554.0,-116.2
8744.0,-108.57,8657.0,-123.2
9823.0,-117.95,9737.0,-117.6
10907.0,-126.14,10820.0,-109.62
11991.0,-119.35,11904.0,-126.0
13005.0,-153.37,12918.0,-129.5
13998.0,-136.5,13911.0,-137.62
14981.0,-163.45,14894.0,-117.11
15967.0,-143.71,15880.0,-131.53
16942.0,-163.1,16855.0,-126.7
17925.0,-149.38,17837.0,-112.42
18893.0,-154.77,18806.0,-116.69
19871.0,-147.07,19784.0,-135.03
20850.0,-122.92,20764.0,-125.86
21737.0,-191.66,21651.0,-138.88
22637.0,-143.57,22550.0,-131.18
23515.0,-181.23,23428.0,-150.64
24388.0,-183.89,24301.0,-105.07
25251.0,-186.62,25164.0,-129.78
26130.0,-171.36,26044.0,-106.4
27016.0,-176.82,26929.0,-135.24
27903.0,-157.08,27817.0,-118.09
28821.0,-199.22,28735.0,-102.06
29796.0,-145.04,29709.0,-131.25
30770.0,-148.05,30683.0,-124.53
31739.0,-138.53,31651.0,-100.1
32728.0,-136.85,32641.0,-122.85
33733.0,-140.91,33645.0,-133.49
34734.0,-130.97,34648.0,-135.38
35742.0,-153.16,35655.0,-121.94
36744.0,-165.13,36656.0,-122.29
37763.0,-137.2,37676.0,-109.06
38820.0,-121.52,38733.0,-113.19
39896.0,-106.12,39810.0,-106.33
40945.0,-112.28,40859.0,-118.02
42025.0,-120.12,41939.0,-113.68
43084.0,-109.34,42998.0,-115.15
44126.0,-112.91,44041.0,-111.93
