TO time,TO value,IC time,IC value
4520.0,-144.34,3940.0,-72.1
5488.0,-141.33,4908.0,-86.17
6445.0,-146.09,5873.0,-82.67
7404.0,-157.92,6833.0,-109.9
8369.0,-137.69,7785.0,-78.19
9331.0,-155.33,8749.0,-95.2
10309.0,-153.09,9719.0,-84.91
11296.0,-136.99,10706.0,-132.3
12276.0,-137.13,11690.0,-105.56
13221.0,-146.37,12656.0,-98.35
14176.0,-129.57,13608.0,-78.4
15132.0,-135.45,14558.0,-66.64
16040.0,-147.35,15504.0,-89.74
17010.0,-154.91,16452.0,-110.46
17601.0,-68.53,17391.0,-81.55
18923.0,-163.31,18350.0,-120.4
19868.0,-163.94,19302.0,-90.3
20843.0,-168.91,20271.0,-98.49
21805.0,-153.51,21230.0,-105.49
22766.0,-159.67,22186.0,-65.59
23736.0,-145.39,23154.0,-73.08
24683.0,-157.99,24117.0,-111.23
25644.0,-147.0,25063.0,-97.72
26227.0,-71.19,26024.0,-93.31
27550.0,-148.54,26977.0,-91.49
28507.0,-142.73,27925.0,-89.46
29471.0,-140.98,28890.0,-107.87
30037.0,-77.07,29843.0,-99.33
31336.0,-156.52,30784.0,4.2
32319.0,-148.75,31742.0,-87.64
33273.0,-163.87,32699.0,-103.25
34249.0,-154.91,33652.0,1.12
35212.0,-145.39,34629.0,-104.93
36183.0,-168.56,35600.0,-99.75
37143.0,-149.45,36572.0,-105.35
38122.0,-150.29,37539.0,-112.07
39081.0,-150.85,38506.0,-96.88
40028.0,-145.11,39461.0,-127.61
41103.0,-100.03,40430.0,-90.93
,,41546.0,-29.26
