TO time,TO value,IC time,IC value
2104.0,-156.52,2019.0,-137.27
3075.0,-129.08,2988.0,-118.3
4033.0,-128.24,3948.0,-118.58
5002.0,-115.99,4916.0,-152.25
5966.0,-103.25,5880.0,-119.42
6919.0,-120.75,6833.0,-109.9
7880.0,-101.57,7793.0,-122.99
8842.0,-132.72,8756.0,-131.39
9812.0,-128.52,9726.0,-126.0
10792.0,-170.03,10706.0,-132.3
11778.0,-167.72,11690.0,-105.56
12750.0,-115.64,12664.0,-146.65
13702.0,-131.25,13616.0,-129.5
14652.0,-133.49,14566.0,-113.75
15597.0,-126.14,15512.0,-138.18
16538.0,-126.0,16452.0,-110.46
17485.0,-159.04,17399.0,-119.84
18435.0,-146.44,18350.0,-120.4
19396.0,-110.46,19310.0,-129.85
20365.0,-116.76,20279.0,-147.21
21316.0,-158.76,21230.0,-105.49
22279.0,-173.46,22194.0,-108.36
23247.0,-129.99,23162.0,-114.59
24203.0,-134.12,24117.0,-111.23
25156.0,-116.9,25071.0,-137.55
26118.0,-136.99,26032.0,-140.42
27071.0,-137.34,26985.0,-131.67
28019.0,-149.45,27933.0,-134.89
28976.0,-136.5,28890.0,-107.87
29937.0,-139.09,29851.0,-135.03
30894.0,-122.08,30807.0,-132.3
31837.0,-119.98,31750.0,-127.26
32785.0,-162.75,32699.0,-103.25
33754.0,-174.65,33667.0,-126.56
34715.0,-162.33,34629.0,-104.93
35693.0,-140.14,35607.0,-141.61
36658.0,-141.33,36572.0,-105.35
37625.0,-156.38,37539.0,-112.07
38600.0,-116.9,38514.0,-140.56
39547.0,-122.43,39461.0,-127.61
