TO time,TO value,IC time,IC value
4361.0,-102.55,4188.0,-62.09
5453.0,-99.68,5266.0,-55.51
6498.0,-108.22,6327.0,-40.25
7513.0,-109.27,7364.0,-87.71
8529.0,-118.58,8389.0,-52.64
10070.0,-108.64,9420.0,2.59
10615.0,-119.35,10466.0,-62.44
12141.0,-114.66,11504.0,-44.59
12689.0,-108.64,12539.0,-80.08
14248.0,-110.11,13581.0,-58.52
15283.0,-107.94,14644.0,-77.35
15863.0,-110.11,15699.0,-113.4
16900.0,-118.44,16745.0,-57.68
17962.0,-104.51,17790.0,-81.13
19424.0,-130.69,18789.0,-53.13
19969.0,-126.21,19812.0,1.26
22543.0,-113.26,20883.0,-90.02
23089.0,-129.5,21917.0,-71.33
24629.0,-108.29,22932.0,2.94
25684.0,-117.39,23992.0,-102.27
26223.0,-111.44,25032.0,-73.29
27741.0,-110.32,26066.0,-90.23
28309.0,-116.97,27091.0,-62.23
29344.0,-118.51,28145.0,-60.83
30862.0,-111.16,29180.0,-57.68
31907.0,-112.28,30217.0,-82.11
32935.0,-107.03,31250.0,-67.55
33478.0,-119.35,32310.0,-75.18
34487.0,-125.86,33331.0,-107.73
35532.0,-111.86,34331.0,-70.84
37071.0,-120.33,35360.0,-59.01
37631.0,-120.33,36414.0,-73.71
39175.0,-119.56,37468.0,-53.9
39729.0,-114.31,38512.0,-74.48
40796.0,-114.24,39574.0,-72.03
41875.0,-104.23,40626.0,-66.71
42931.0,-108.99,41705.0,-95.41
43978.0,-103.88,42743.0,6.23
45511.0,-115.43,43808.0,-51.24
46085.0,-112.77,44859.0,-56.56
47154.0,-111.37,45921.0,-59.78
48207.0,-112.14,46983.0,-79.31
49278.0,-113.61,48052.0,-65.03
,,49122.0,-69.23
,,50232.0,4.9
