TO time,TO value,IC time,IC value
2126.0,-101.71,1994.0,-104.93
3244.0,-103.74,3102.0,-105.84
4291.0,-104.65,4203.0,-114.66
5367.0,-107.31,5281.0,-113.4
6436.0,-113.54,6350.0,-112.0
7458.0,-123.48,7371.0,-112.07
8505.0,-110.95,8412.0,-110.67
9529.0,-113.82,9443.0,-108.29
10568.0,-111.02,10482.0,-121.73
11637.0,-111.79,11527.0,-115.08
12632.0,-108.71,12547.0,-105.84
13683.0,-120.05,13596.0,-108.08
14738.0,-120.54,14652.0,-104.16
15785.0,-111.23,15699.0,-113.4
16846.0,-104.44,16760.0,-122.01
17931.0,-110.18,17798.0,-114.24
18890.0,-126.42,18804.0,-121.17
19922.0,-118.86,19836.0,-119.77
20977.0,-108.01,20891.0,-122.85
22009.0,-131.95,21924.0,-100.73
23041.0,-118.93,22955.0,-124.39
24077.0,-130.83,23992.0,-102.27
25126.0,-126.42,25040.0,-111.79
26160.0,-119.14,26074.0,-125.02
27185.0,-130.62,27099.0,-109.55
28246.0,-115.01,28160.0,-124.67
29281.0,-111.09,29195.0,-126.7
30312.0,-117.88,30225.0,-111.44
31343.0,-103.11,31257.0,-104.79
32403.0,-121.8,32318.0,-108.78
33416.0,-146.65,33331.0,-107.73
34432.0,-113.47,34347.0,-119.56
35462.0,-103.67,35375.0,-122.22
36509.0,-125.16,36422.0,-101.71
37569.0,-137.34,37483.0,-117.81
38604.0,-121.8,38520.0,-106.05
39667.0,-115.64,39582.0,-103.46
40727.0,-112.07,40642.0,-120.82
41798.0,-115.64,41713.0,-119.0
42853.0,-109.69,42767.0,-114.24
43909.0,-122.57,43823.0,-110.46
44961.0,-111.23,44874.0,-114.94
46023.0,-107.03,45937.0,-119.98
47076.0,-119.21,46991.0,-107.24
48153.0,-102.48,48067.0,-118.02
