TO time,TO value,IC time,IC value
4564.0,-87.99,3788.0,-85.26
5804.0,-83.86,5049.0,-84.63
7121.0,-91.0,6348.0,-68.18
8375.0,-93.24,7617.0,-104.37
9617.0,-85.82,8865.0,-84.77
10827.0,-91.28,10092.0,-87.57
12050.0,-94.85,11312.0,-95.06
13292.0,-94.22,12564.0,-67.9
14535.0,-94.5,13775.0,-92.89
15758.0,-95.27,15013.0,-88.76
17003.0,-87.57,16236.0,-83.65
18183.0,-86.94,17476.0,-70.77
19408.0,-99.75,18649.0,-99.05
20602.0,-99.82,19873.0,-103.81
21805.0,-107.45,21075.0,-101.15
22986.0,-99.26,22279.0,-102.2
24167.0,-102.34,23462.0,-93.87
25396.0,-92.96,24641.0,-102.13
26575.0,-101.78,25850.0,-104.02
27794.0,-96.6,27049.0,-96.6
28976.0,-100.87,28260.0,-100.8
30184.0,-94.01,29438.0,-92.61
31349.0,-106.96,30668.0,-72.1
32537.0,-101.99,31808.0,-105.91
33744.0,-115.99,33033.0,-103.6
34932.0,-106.19,34219.0,-109.48
36106.0,-109.48,35431.0,-78.89
37379.0,-104.09,36650.0,-73.01
38609.0,-98.28,37860.0,-96.53
39854.0,-94.71,39092.0,-95.62
41032.0,-106.19,40289.0,-99.19
42237.0,-104.09,41502.0,-102.9
43445.0,-97.86,42745.0,-78.33
44678.0,-102.9,43927.0,-95.76
45866.0,-90.65,45152.0,-96.88
47057.0,-96.32,46339.0,-95.55
48228.0,-108.64,47530.0,-102.41
49399.0,-111.51,48703.0,-106.4
50583.0,-105.07,49880.0,-106.05
51822.0,-112.42,51085.0,-103.95
53022.0,-102.48,52299.0,-107.17
54243.0,-95.62,53491.0,-104.58
55418.0,-96.88,54690.0,-105.28
56594.0,-104.58,55869.0,-113.82
57801.0,-109.34,57097.0,-76.58
58985.0,-110.46,58298.0,-76.37
60196.0,-102.9,59467.0,-103.18
61401.0,-105.56,60673.0,-95.48
62593.0,-103.39,61867.0,-104.44
63763.0,-106.4,63052.0,-100.87
65224.0,-22.89,64269.0,-95.76
