TO time,TO value,IC time,IC value
4510.0,-100.8,3214.0,-101.99
5196.0,-101.15,4518.0,-106.4
7617.0,-104.37,5758.0,-100.94
9563.0,-104.79,8345.0,-101.64
10765.0,-101.15,9571.0,-111.44
11327.0,-100.17,10773.0,-105.21
13277.0,-100.24,12003.0,-106.12
13791.0,-100.59,13285.0,-100.03
15029.0,-100.45,14489.0,-101.01
16251.0,-100.31,15742.0,-100.52
16392.0,-103.88,16259.0,-103.53
18657.0,-107.59,18097.0,-100.03
18790.0,-103.6,18664.0,-103.67
20014.0,-104.79,19873.0,-103.81
21223.0,-100.8,21075.0,-101.15
22421.0,-107.59,22279.0,-102.2
24641.0,-102.13,24122.0,-101.92
24783.0,-103.88,24649.0,-113.47
25984.0,-107.24,25850.0,-104.02
28260.0,-100.8,27748.0,-102.27
28396.0,-101.22,28270.0,-107.59
29580.0,-101.43,29446.0,-100.94
31808.0,-105.91,31288.0,-102.55
31957.0,-103.46,31816.0,-117.88
33674.0,-100.66,33033.0,-103.6
34348.0,-102.27,34219.0,-109.48
36060.0,-105.63,35517.0,-101.99
37868.0,-105.63,37341.0,-104.93
38548.0,-100.59,37875.0,-112.0
39792.0,-106.75,39100.0,-100.87
40979.0,-102.55,40296.0,-109.62
41650.0,-107.03,41502.0,-102.9
43415.0,-103.46,42785.0,-109.55
44076.0,-104.93,43935.0,-104.72
45285.0,-101.85,45159.0,-108.71
46479.0,-100.38,46346.0,-102.76
48143.0,-101.99,47530.0,-102.41
48835.0,-100.17,48703.0,-106.4
50021.0,-100.38,49880.0,-106.05
51776.0,-103.32,51085.0,-103.95
52422.0,-100.03,52299.0,-107.17
53576.0,-101.43,53491.0,-104.58
55368.0,-100.31,54690.0,-105.28
55978.0,-108.22,55869.0,-113.82
58283.0,-100.24,57740.0,-100.66
58932.0,-102.97,58330.0,-105.98
60135.0,-100.8,59467.0,-103.18
61355.0,-101.36,60681.0,-104.3
62015.0,-104.3,61867.0,-104.44
