TO time,TO value,IC time,IC value
5093.0,-76.23,4325.0,-67.2
5684.0,-80.78,5528.0,-41.3
7414.0,-76.3,6678.0,-80.57
8516.0,-80.15,7819.0,-65.45
9637.0,-73.36,8930.0,-51.8
10245.0,-88.76,10057.0,-54.11
11393.0,-88.55,11207.0,-69.72
12572.0,-88.27,12384.0,-56.42
14157.0,-74.27,13499.0,-77.42
15183.0,-84.35,14542.0,-106.33
15748.0,-105.35,15577.0,-98.21
16801.0,-120.26,16637.0,-101.78
18349.0,-107.1,17690.0,-85.96
18925.0,-104.16,18754.0,-88.9
19957.0,-105.35,19833.0,-89.95
21079.0,-105.07,20894.0,2.24
22162.0,-104.02,21992.0,-89.32
23643.0,-105.28,23061.0,-115.15
24612.0,-117.74,24021.0,-88.27
25162.0,-116.13,24989.0,-106.33
26113.0,-119.56,25956.0,-70.21
27082.0,-116.97,26926.0,-80.22
28066.0,-126.0,27910.0,-83.51
29076.0,-121.8,28912.0,-83.16
30495.0,-117.32,29896.0,-85.61
31047.0,-118.86,30883.0,-72.8
32030.0,-119.77,31875.0,-104.3
33014.0,-130.83,32866.0,-90.79
33999.0,-122.36,33851.0,-105.77
35566.0,-130.55,34869.0,-51.66
36639.0,-115.57,35970.0,-86.45
37727.0,-93.87,37035.0,-74.13
38302.0,-100.87,38131.0,-58.66
39420.0,-99.19,39232.0,-65.66
40458.0,-101.85,40334.0,-62.93
41617.0,-98.84,41431.0,-73.64
42700.0,-97.09,42520.0,-79.87
43794.0,-90.58,43630.0,-98.49
48357.0,-73.99,44801.0,1.54
48949.0,-67.83,46133.0,-27.51
50283.0,-71.96,47499.0,-35.56
52227.0,-68.39,48792.0,1.61
,,50081.0,-49.84
,,51367.0,-32.48
,,52710.0,-22.61
