TO time,TO value,IC time,IC value
2651.0,-100.66,1946.0,-101.99
3823.0,-100.94,3172.0,-110.53
4489.0,-108.85,4340.0,-110.95
5699.0,-100.1,5559.0,-102.13
6827.0,-105.42,6686.0,-109.69
7959.0,-100.45,7834.0,-115.64
9030.0,-104.72,8945.0,-123.13
10229.0,-102.13,10073.0,-106.33
11362.0,-102.76,11222.0,-106.96
13012.0,-102.41,12407.0,-111.51
13592.0,-112.49,13506.0,-114.73
14627.0,-122.64,14542.0,-106.33
15670.0,-109.34,15585.0,-133.91
16723.0,-132.44,16637.0,-101.78
17784.0,-137.48,17698.0,-110.88
18847.0,-125.79,18762.0,-141.05
19926.0,-125.58,19841.0,-123.97
21001.0,-122.99,20917.0,-128.45
22085.0,-128.03,22000.0,-118.02
23146.0,-178.99,23061.0,-115.15
24113.0,-134.4,24028.0,-133.77
25076.0,-151.13,24989.0,-106.33
26049.0,-121.24,25963.0,-109.13
27020.0,-130.13,26933.0,-112.14
28003.0,-139.72,27917.0,-122.43
29004.0,-152.81,28919.0,-123.27
29992.0,-132.44,29905.0,-137.62
30977.0,-135.45,30890.0,-109.69
31960.0,-161.84,31875.0,-104.3
32959.0,-129.15,32874.0,-127.61
33936.0,-136.78,33851.0,-105.77
34969.0,-104.93,34884.0,-106.68
36065.0,-130.2,35978.0,-120.19
37129.0,-139.86,37042.0,-107.17
38233.0,-120.33,38147.0,-117.18
39325.0,-114.59,39240.0,-102.55
40435.0,-105.35,40349.0,-119.84
41524.0,-112.84,41439.0,-109.97
42613.0,-121.66,42528.0,-112.63
43755.0,-104.93,43638.0,-129.01
49598.0,-101.99,48287.0,-105.14
,,49605.0,-103.81
