TO time,TO value,IC time,IC value
5562.0,-28.56,5295.0,0.98
6411.0,-62.02,5381.0,-52.99
7243.0,-97.93,6191.0,0.28
8556.0,-157.64,6316.0,-137.2
9020.0,-90.51,7086.0,-53.9
10325.0,-174.72,7960.0,28.98
11226.0,-147.35,8077.0,-77.63
12114.0,-160.51,8840.0,11.34
12987.0,-143.36,8965.0,-99.96
13524.0,-31.71,9744.0,-28.7
14774.0,-164.92,9845.0,-125.93
15268.0,-22.61,10647.0,-137.76
16479.0,-129.01,10725.0,-126.35
17232.0,-95.48,11517.0,-156.87
17840.0,-31.29,11618.0,-199.64
19116.0,-120.47,12399.0,-117.04
19627.0,-24.01,12485.0,-96.74
20870.0,-165.13,13288.0,-105.35
21359.0,-40.39,14179.0,-156.87
22234.0,-43.33,14281.0,-170.52
23070.0,-42.07,15087.0,-53.2
23999.0,-36.61,15930.0,-55.58
25170.0,-137.9,15984.0,-82.18
25642.0,-33.88,16790.0,-75.39
26608.0,-18.83,16860.0,-120.96
27794.0,-124.81,17669.0,-78.19
28667.0,-138.46,18526.0,-117.81
29147.0,-31.71,18626.0,-140.42
30444.0,-151.62,19438.0,-70.49
30917.0,-20.65,20298.0,-151.06
31790.0,-53.13,20383.0,-153.93
33060.0,-161.77,21171.0,-112.56
33948.0,-108.36,22068.0,-59.85
34475.0,-45.71,22888.0,-119.77
35708.0,-135.24,22966.0,-108.85
36253.0,-31.99,23779.0,-124.74
37496.0,-80.36,24699.0,-112.21
38358.0,-68.81,25485.0,-92.61
38815.0,-24.08,26357.0,-94.22
40080.0,-128.59,27251.0,-32.34
40568.0,-33.67,27282.0,-77.0
41475.0,-57.4,28093.0,-121.8
42445.0,-69.86,28163.0,-87.78
44036.0,-35.0,28981.0,-113.61
,,29847.0,-135.17
,,29941.0,-148.68
,,30767.0,-68.46
,,31602.0,-103.67
,,31695.0,-112.56
,,32517.0,-67.83
,,33398.0,-77.7
,,34231.0,-135.66
,,35151.0,-73.22
,,36002.0,-71.26
,,36915.0,-49.14
,,37789.0,-39.48
,,38665.0,-37.94
,,39499.0,-117.25
,,39585.0,-166.6
,,40379.0,-129.08
,,41301.0,-84.84
,,42232.0,-58.59
,,43459.0,-16.24
