TO time,TO value,IC time,IC value
4038.0,-20.3,2824.0,-4.83
4900.0,-100.66,3390.0,-28.49
5787.0,-160.65,4304.0,-98.56
6666.0,-198.94,5211.0,-133.0
7528.0,-166.81,6123.0,-164.22
8424.0,-144.55,7040.0,-147.49
9309.0,-172.62,7934.0,-143.22
10210.0,-202.58,8801.0,-150.22
11108.0,-146.86,9711.0,-159.95
12001.0,-165.55,10597.0,-147.49
12898.0,-169.68,11520.0,-165.06
14691.0,-178.85,12388.0,-149.45
15577.0,-161.84,13690.0,-151.34
16478.0,-168.84,14204.0,-148.33
17350.0,-167.51,15078.0,-147.14
18231.0,-186.76,15975.0,-142.1
19051.0,-202.65,16872.0,-141.33
19885.0,-199.15,17730.0,-141.19
20755.0,-198.17,18610.0,-153.3
21617.0,-194.81,19444.0,-140.91
22458.0,-171.5,20254.0,-137.06
23312.0,-204.26,21133.0,-146.58
24192.0,-173.46,21981.0,-142.87
25072.0,-191.24,22845.0,-144.9
25951.0,-191.73,23683.0,-144.76
26839.0,-182.28,24564.0,-137.48
27744.0,-140.49,25473.0,-148.54
28633.0,-158.9,26322.0,-151.06
29506.0,-171.5,27242.0,-175.07
30384.0,-169.19,28148.0,-158.97
31282.0,-187.74,29006.0,-151.76
32169.0,-209.86,29892.0,-145.88
33043.0,-170.73,30770.0,-152.25
33928.0,-187.11,31692.0,-148.75
35658.0,-173.74,32540.0,-149.1
36546.0,-171.64,33421.0,-158.69
37434.0,-196.84,34702.0,-141.89
38322.0,-174.51,35157.0,-127.89
39233.0,-179.62,36014.0,-132.3
40137.0,-163.8,36933.0,-134.47
41057.0,-190.61,37820.0,-142.59
,,38731.0,-163.38
,,39620.0,-141.68
,,40549.0,-150.5
