TO time,TO value,IC time,IC value
5482.0,-56.0,5272.0,-66.08
7135.0,-106.61,6392.0,-51.45
7665.0,-108.15,6531.0,-108.5
9358.0,-96.95,7517.0,-52.99
9925.0,-90.51,8612.0,-30.03
11029.0,-88.83,8737.0,-133.07
12149.0,-90.86,9728.0,-47.81
13290.0,-121.1,10834.0,0.14
14401.0,-102.69,11952.0,-40.46
15497.0,-83.72,13102.0,-51.45
17128.0,-112.0,14212.0,-54.11
17656.0,-101.57,15293.0,5.32
19332.0,-103.11,16382.0,-49.14
19883.0,-110.88,16532.0,-118.23
20980.0,-87.08,17483.0,-72.52
22558.0,-121.1,18581.0,4.48
23110.0,-102.97,18708.0,-142.45
24187.0,-103.67,19671.0,12.04
25227.0,-116.06,20769.0,21.42
26301.0,-120.19,21864.0,15.89
27343.0,-115.57,21973.0,-82.74
28407.0,-116.27,22921.0,16.59
29482.0,-100.17,23999.0,-97.65
30676.0,-37.52,25071.0,2.87
31686.0,-93.73,26121.0,8.54
33289.0,-133.07,27187.0,-51.45
33841.0,-112.0,28226.0,-52.08
34947.0,-90.37,29301.0,-36.61
36044.0,-114.73,30376.0,-29.54
37143.0,-57.68,30517.0,-116.83
38203.0,-122.85,31498.0,-41.72
39845.0,-95.62,32555.0,-69.09
40356.0,-103.74,32672.0,-100.52
41439.0,-96.81,33660.0,15.26
43062.0,-110.53,34774.0,11.48
43598.0,-129.15,35879.0,-80.22
44698.0,-106.4,36931.0,13.72
45736.0,-115.08,38039.0,-62.3
46829.0,-111.3,39096.0,5.46
47899.0,-84.91,39236.0,-117.32
49096.0,-18.69,40184.0,-57.12
50584.0,-124.46,41250.0,-57.68
51128.0,-89.67,42314.0,7.14
52224.0,-84.98,42439.0,-67.55
53362.0,-86.59,43425.0,5.32
,,44493.0,18.06
,,45579.0,-51.03
,,46672.0,-70.21
,,47711.0,-45.29
,,48774.0,-31.5
,,48891.0,0.63
,,49851.0,6.93
,,49984.0,-108.22
,,50964.0,-75.95
,,52036.0,-58.38
,,53192.0,10.64
