TO time,TO value,IC time,IC value
4340.0,-160.72,3680.0,-79.17
5346.0,-181.37,4730.0,-74.13
6413.0,-144.48,5759.0,-81.69
7487.0,-180.04,6802.0,-94.29
8549.0,-150.22,7933.0,-90.86
9634.0,-166.88,8956.0,-41.44
10675.0,-178.64,10064.0,-91.35
11709.0,-139.79,11110.0,-93.45
12775.0,-174.51,12108.0,-34.65
13831.0,-160.3,13203.0,-89.39
14858.0,-148.61,14237.0,-85.75
15875.0,-181.44,15269.0,-86.03
16900.0,-186.55,16279.0,-28.91
17971.0,-187.04,17294.0,-104.23
19012.0,-140.98,18414.0,-102.27
20037.0,-164.29,19425.0,-89.95
21084.0,-158.55,20471.0,-105.0
22110.0,-172.9,21528.0,-107.94
23167.0,-159.32,22553.0,-99.12
24193.0,-143.99,23571.0,-92.12
25232.0,-146.58,24623.0,-93.59
26272.0,-151.34,25624.0,-40.6
27312.0,-193.34,26702.0,-92.4
28358.0,-171.57,27744.0,-90.86
29407.0,-185.36,28793.0,-97.09
30465.0,-194.04,29850.0,-110.88
31521.0,-184.31,30877.0,-33.32
32555.0,-168.21,31948.0,-95.62
33567.0,-183.96,32943.0,-41.37
34591.0,-153.02,33979.0,-42.35
35655.0,-167.93,34979.0,-49.98
36667.0,-175.07,36051.0,-23.87
37735.0,-158.62,37080.0,-23.38
38801.0,-159.25,38179.0,-104.86
39831.0,-161.42,39199.0,-34.09
40875.0,-166.32,40265.0,-108.15
41902.0,-148.96,41310.0,-101.78
42928.0,-151.55,42299.0,-35.42
43976.0,-183.82,43301.0,-92.75
45042.0,-137.06,44380.0,-60.13
46115.0,-168.63,45453.0,-32.13
47173.0,-151.41,46512.0,-32.69
48227.0,-159.04,47569.0,-41.37
49261.0,-168.14,48670.0,-102.34
50310.0,-157.92,49696.0,-100.31
51342.0,-124.6,50713.0,-30.52
,,51716.0,-11.06
