TO time,TO value,IC time,IC value
3742.0,-5.39,3020.0,-3.85
4425.0,-51.24,4159.0,-11.2
6713.0,-38.36,5659.0,-16.66
7394.0,-59.78,5863.0,-51.66
8869.0,-48.37,7126.0,2.52
10335.0,-54.81,8603.0,8.89
11708.0,-61.88,10027.0,3.36
12990.0,-65.66,11434.0,8.61
14615.0,-62.16,12887.0,21.63
16068.0,-62.72,13061.0,21.63
17551.0,-46.55,14373.0,28.49
19022.0,-47.95,15793.0,7.91
21155.0,-56.35,17293.0,-18.27
21798.0,-53.83,18714.0,2.38
23244.0,-52.15,20141.0,-23.59
24664.0,-44.1,20236.0,5.95
26164.0,-53.48,21500.0,6.16
27534.0,-64.05,22988.0,-13.65
28847.0,-77.21,24408.0,7.98
30987.0,-82.32,25905.0,4.9
31764.0,-59.64,27298.0,3.01
33208.0,-41.23,28683.0,5.95
34584.0,-49.21,30051.0,-25.34
36823.0,-51.8,31456.0,5.32
37535.0,-49.84,32932.0,3.57
38908.0,-59.15,34323.0,4.97
40254.0,-64.47,35783.0,12.95
41648.0,-54.46,35980.0,-48.37
43041.0,-45.71,37253.0,13.58
44467.0,-51.03,38649.0,10.78
45958.0,-54.6,40082.0,-28.7
47465.0,-56.07,41428.0,4.13
49500.0,-70.56,42783.0,5.46
50157.0,-77.63,44279.0,-12.88
51576.0,-55.86,45713.0,-21.63
52904.0,-59.08,47189.0,5.32
54316.0,-62.58,48620.0,-34.79
56335.0,-58.1,48754.0,-64.19
57029.0,-64.75,49960.0,-19.6
59062.0,-69.02,51325.0,11.27
59727.0,-56.21,52666.0,9.1
60975.0,-62.86,54088.0,6.58
62384.0,-49.28,55443.0,-12.95
63782.0,-56.98,55600.0,-82.04
65151.0,-54.95,56810.0,-54.6
66486.0,-45.99,58113.0,8.26
67875.0,-38.64,58278.0,-33.88
70008.0,-57.19,59483.0,-25.97
71420.0,-62.09,60763.0,-21.49
72052.0,-62.37,62140.0,3.29
73364.0,-73.78,63523.0,10.85
73534.0,-64.61,64908.0,0.56
75031.0,-56.07,66274.0,5.32
76420.0,-64.33,67614.0,-11.2
,,69012.0,0.49
,,69224.0,-61.67
,,70423.0,17.99
,,70625.0,-77.7
,,71834.0,6.02
,,73221.0,14.28
,,73448.0,10.71
,,74765.0,12.74
,,76268.0,9.8
,,77898.0,-15.96
