TO time,TO value,IC time,IC value
4799.0,-71.47,3645.0,-48.79
6280.0,-77.21,5365.0,-48.23
7786.0,-87.99,6900.0,-54.32
9126.0,-78.47,8373.0,-65.45
10586.0,-77.35,9722.0,-65.94
12002.0,-81.55,11103.0,-61.04
13445.0,-81.62,12570.0,-65.59
14859.0,-90.09,14016.0,-73.29
16200.0,-118.3,15434.0,-85.61
17577.0,-92.61,16824.0,-90.23
18864.0,-119.56,18069.0,-80.99
21592.0,-101.36,20163.0,-82.6
22978.0,-97.23,20734.0,-76.72
24347.0,-111.86,22132.0,-67.69
25708.0,-90.79,23512.0,-74.62
27093.0,-108.5,24901.0,-89.32
29867.0,-90.09,26317.0,-98.63
31129.0,-108.92,28449.0,-85.26
32459.0,-76.44,29006.0,-90.79
33767.0,-125.09,30367.0,-94.29
35098.0,-104.02,31591.0,-77.28
36493.0,-103.95,33006.0,-93.59
37828.0,-120.61,34354.0,-95.69
39214.0,-124.25,35692.0,-95.27
40595.0,-133.7,37064.0,-97.23
42005.0,-115.43,38417.0,-95.48
43437.0,-113.12,39841.0,-98.77
44810.0,-106.26,41104.0,-97.58
46173.0,-114.1,42627.0,-108.36
47605.0,-126.91,44006.0,-105.84
48930.0,-101.43,45405.0,-98.42
50301.0,-85.33,46760.0,-95.97
51676.0,-101.08,48169.0,-98.84
53040.0,-114.59,49525.0,-98.91
54414.0,-123.48,50902.0,-101.99
55837.0,-81.55,52240.0,-98.07
57136.0,-77.49,53629.0,-95.83
58500.0,-73.57,55012.0,-74.2
59838.0,-107.1,56371.0,-76.3
61169.0,-95.27,57708.0,-82.67
62515.0,-88.83,58976.0,-79.73
63907.0,-101.64,60394.0,-76.79
65265.0,-115.71,61724.0,-79.94
66607.0,-127.82,63056.0,-84.7
67921.0,-122.64,64487.0,-101.85
69218.0,-120.61,65835.0,-109.55
70582.0,-131.18,67184.0,-107.03
71956.0,-92.47,68470.0,-115.22
73410.0,-96.74,69828.0,-110.11
,,71169.0,-81.97
,,72507.0,-80.78
,,74097.0,-81.41
