TO time,TO value,IC time,IC value
,,3437.0,-75.53
,,4784.0,-51.38
,,6232.0,-70.98
,,7577.0,-75.53
,,8809.0,-66.08
,,10226.0,-89.53
,,11546.0,-71.33
,,12923.0,-68.74
,,14293.0,-86.38
,,15742.0,-98.21
,,16979.0,-59.01
,,18354.0,-47.53
,,18749.0,-68.67
,,19575.0,-64.33
,,19859.0,-122.29
,,20691.0,-112.0
,,21824.0,-110.32
,,22847.0,-70.7
,,23912.0,-77.84
,,24927.0,-65.66
,,25275.0,-116.97
,,26096.0,-95.69
,,27139.0,-91.0
,,28113.0,-73.29
,,28380.0,-194.25
,,29016.0,-147.91
,,29935.0,-162.54
,,30147.0,-262.15
,,30806.0,-160.51
,,31788.0,-194.25
,,31921.0,-207.48
,,32580.0,-141.4
,,32824.0,-218.19
,,33520.0,-214.55
,,34356.0,-157.36
,,34582.0,-225.61
,,35274.0,-182.91
,,36140.0,-165.2
,,36960.0,-115.78
,,37188.0,-182.07
,,37795.0,-136.78
,,38053.0,-208.04
,,38667.0,-136.5
,,38938.0,-199.78
,,39783.0,-180.53
,,40736.0,-130.27
,,41747.0,-102.97
,,42004.0,-121.66
,,42765.0,-97.51
,,43750.0,-91.14
,,44795.0,-84.63
,,45041.0,-109.2
,,45815.0,-96.74
,,47113.0,-95.62
,,48470.0,-81.55
,,49968.0,-91.77
,,51396.0,-89.11
,,52797.0,-84.28
,,54229.0,-80.99
,,55649.0,-67.62
