TO time,TO value,IC time,IC value
6993.0,-66.99,3033.0,5.81
8308.0,-114.73,4550.0,-13.51
9659.0,-116.62,6031.0,-25.34
11073.0,-98.77,7430.0,0.21
12485.0,-95.34,8768.0,0.77
13911.0,-91.91,10175.0,0.91
15370.0,-110.67,11558.0,-21.14
16723.0,-122.29,12979.0,1.47
17927.0,-97.79,14455.0,-25.13
19067.0,-118.79,15821.0,-15.4
20190.0,-115.08,17164.0,-38.22
21300.0,-140.91,18321.0,-58.66
22403.0,-134.75,19468.0,-43.54
23495.0,-137.55,20585.0,-28.63
24589.0,-129.29,21688.0,-56.56
25701.0,-137.48,22780.0,-43.12
26774.0,-162.89,23895.0,-39.2
27897.0,-126.7,24979.0,-39.83
28801.0,-160.3,26081.0,4.2
29688.0,-155.33,27181.0,-46.9
30552.0,-188.51,28214.0,-89.74
31439.0,-165.48,29110.0,-90.72
32288.0,-189.7,30011.0,-81.69
33178.0,-182.56,30876.0,-49.28
34106.0,-181.23,31749.0,-112.49
35115.0,-174.93,32613.0,-65.17
36148.0,-179.34,33520.0,-44.24
37218.0,-186.97,34452.0,-37.94
38307.0,-160.3,35500.0,-19.39
39375.0,-141.96,36544.0,-28.35
40434.0,-132.02,37623.0,-30.24
41475.0,-149.73,38690.0,7.77
42549.0,-133.14,39757.0,-41.23
43546.0,-138.11,40784.0,0.28
44635.0,-168.63,41857.0,-39.34
45724.0,-147.63,42908.0,-52.92
46791.0,-169.54,43919.0,2.1
49446.0,-146.44,45017.0,-39.69
50817.0,-119.49,46106.0,-36.68
52133.0,-132.23,47197.0,3.08
53541.0,-102.34,49923.0,-29.75
54810.0,-125.37,51256.0,-18.9
56231.0,-131.18,52611.0,-18.27
57615.0,-130.2,53978.0,-30.03
59006.0,-118.3,55318.0,-13.37
,,56731.0,-26.81
,,58106.0,-15.89
