TO time,TO value,IC time,IC value
4790.0,-108.78,4241.0,-42.35
5714.0,-124.32,5156.0,-52.29
6646.0,-139.44,6077.0,-36.19
7613.0,-120.82,7022.0,-33.18
8543.0,-111.72,7992.0,-42.49
9461.0,-142.1,8912.0,-50.19
10329.0,-83.16,9838.0,-31.01
11347.0,-118.93,10783.0,-29.33
12300.0,-107.52,11720.0,-25.06
13225.0,-125.65,12675.0,-64.26
14139.0,-105.56,13590.0,-40.95
15106.0,-93.52,14530.0,-47.6
16014.0,-127.05,15466.0,-41.79
16970.0,-113.19,16395.0,-42.0
17915.0,-106.26,17348.0,-31.15
18850.0,-126.49,18296.0,-57.33
19721.0,-91.91,19239.0,-70.84
20757.0,-126.56,20184.0,-52.5
21719.0,-108.43,21154.0,-38.43
22299.0,-50.54,22102.0,-31.08
23619.0,-115.99,23044.0,-39.41
24581.0,-117.6,24000.0,-37.1
25542.0,-103.04,24970.0,-35.42
26477.0,-125.02,25916.0,-43.68
27438.0,-121.17,26865.0,-38.01
28395.0,-116.9,27812.0,-35.0
29352.0,-96.88,28770.0,1.54
30317.0,-120.68,29741.0,-48.58
31302.0,-97.65,30698.0,7.0
32268.0,-123.48,31701.0,-41.93
,,32672.0,1.96
