TO time,TO value,IC time,IC value
2512.0,-134.75,2426.0,-102.34
3428.0,-151.48,3342.0,-115.5
4343.0,-154.49,4257.0,-110.74
5258.0,-137.55,5171.0,-120.54
6186.0,-136.22,6101.0,-122.78
7131.0,-156.03,7046.0,-116.69
8092.0,-147.91,8007.0,-100.31
9017.0,-143.08,8935.0,-130.69
9946.0,-141.68,9861.0,-115.08
10892.0,-116.69,10807.0,-107.17
11837.0,-136.15,11751.0,-116.62
12777.0,-142.1,12691.0,-112.14
13700.0,-116.76,13614.0,-101.15
14640.0,-140.14,14554.0,-119.49
15575.0,-120.4,15489.0,-112.91
16507.0,-123.34,16419.0,-123.55
17459.0,-123.83,17371.0,-100.73
18406.0,-127.68,18319.0,-126.42
19341.0,-134.05,19254.0,-117.39
20294.0,-124.18,20208.0,-117.18
21264.0,-131.18,21178.0,-126.56
22212.0,-137.48,22125.0,-107.66
23146.0,-128.31,23060.0,-116.34
24109.0,-148.05,24023.0,-105.49
25080.0,-145.74,24994.0,-110.88
26022.0,-128.66,25939.0,-126.42
26966.0,-139.86,26880.0,-108.78
27922.0,-120.4,27835.0,-119.63
28887.0,-130.55,28801.0,-109.34
29852.0,-118.93,29765.0,-122.01
30824.0,-110.32,30738.0,-127.82
