TO time,TO value,IC time,IC value
4774.0,-88.55,4127.0,-103.74
5857.0,-84.14,5210.0,-102.06
6947.0,-93.24,6331.0,-94.5
8003.0,-93.45,7391.0,-99.19
9075.0,-87.43,8447.0,-95.34
10134.0,-73.29,9512.0,-105.7
11197.0,-89.81,10560.0,-100.31
12263.0,-80.5,11649.0,-98.28
13321.0,-88.2,12691.0,-99.19
15467.0,-94.57,13764.0,-101.15
16525.0,-97.79,14852.0,-93.03
17573.0,-103.67,15913.0,-99.82
18646.0,-95.13,16975.0,-108.92
19725.0,-101.71,18041.0,-75.74
20797.0,-88.34,19103.0,-109.06
21854.0,-90.23,20168.0,-106.47
22928.0,-83.58,21264.0,-65.1
23979.0,-93.52,22298.0,-100.8
25034.0,-99.68,23363.0,-97.16
26099.0,-92.82,24411.0,-94.08
27161.0,-92.05,25485.0,-106.89
28220.0,-87.57,26541.0,-99.33
29257.0,-97.3,27605.0,-95.48
30314.0,-96.67,28648.0,-91.49
31381.0,-95.55,29709.0,-96.46
32442.0,-94.64,30750.0,-93.17
33508.0,-88.13,31839.0,-68.88
34571.0,-89.95,32886.0,-107.66
35624.0,-101.22,33967.0,-78.61
36698.0,-99.75,35016.0,-107.38
37801.0,-84.77,36099.0,-105.63
38872.0,-82.95,37163.0,-99.96
39919.0,-90.3,38252.0,-94.43
41006.0,-98.63,39321.0,-95.76
42130.0,-85.33,40378.0,-102.76
,,41464.0,-100.31
,,42619.0,-63.7
