TO time,TO value,IC time,IC value
3132.0,-103.6,3046.0,-107.73
4214.0,-112.77,4127.0,-103.74
5296.0,-111.16,5210.0,-102.06
6899.0,-103.81,6371.0,-104.09
7972.0,-102.55,7398.0,-104.3
8541.0,-101.99,8455.0,-106.61
9597.0,-111.79,9512.0,-105.7
10647.0,-105.56,10560.0,-100.31
12193.0,-103.04,11696.0,-106.19
12787.0,-115.99,12699.0,-114.73
14860.0,-108.71,13764.0,-101.15
14954.0,-105.0,14868.0,-101.78
16006.0,-127.75,15921.0,-109.69
17062.0,-110.67,16975.0,-108.92
18158.0,-109.48,18072.0,-111.37
19189.0,-102.2,19103.0,-109.06
20254.0,-106.05,20168.0,-106.47
21791.0,-101.78,21287.0,-102.76
22841.0,-101.99,22298.0,-100.8
23916.0,-108.71,23370.0,-100.03
24505.0,-100.94,24419.0,-108.64
25571.0,-100.59,25485.0,-106.89
27098.0,-104.3,26549.0,-107.59
28156.0,-100.1,27659.0,-106.75
29195.0,-107.1,28703.0,-112.07
30250.0,-101.08,29780.0,-107.03
30852.0,-105.14,30758.0,-114.8
32372.0,-102.76,31870.0,-104.79
32972.0,-111.51,32886.0,-107.66
34085.0,-106.12,33998.0,-111.93
35102.0,-105.21,35016.0,-107.38
36194.0,-101.15,36099.0,-105.63
37257.0,-104.3,37171.0,-116.41
38802.0,-101.29,38291.0,-115.36
39864.0,-104.3,39360.0,-115.22
40463.0,-111.79,40378.0,-102.76
