TO time,TO value,IC time,IC value
5672.0,-84.7,4939.0,-53.69
6908.0,-67.2,6180.0,-62.86
8176.0,-75.18,7422.0,-84.56
9392.0,-79.1,8667.0,-79.17
10621.0,-76.72,9914.0,-64.4
11852.0,-86.24,11142.0,-84.28
13108.0,-41.58,12360.0,-86.1
14328.0,-64.19,13566.0,-82.39
15507.0,-79.45,14772.0,-78.47
16716.0,-69.65,15983.0,-77.7
17927.0,-61.11,17207.0,-81.48
19137.0,-62.58,18427.0,-76.58
20306.0,-81.9,19612.0,-92.47
21507.0,-62.93,20822.0,-75.25
22677.0,-70.21,21982.0,-88.9
23838.0,-67.55,23145.0,-86.31
24997.0,-79.17,24338.0,-68.39
26194.0,-70.56,25511.0,-66.92
27376.0,-76.72,26679.0,-91.56
28560.0,-70.42,27858.0,-89.74
29696.0,-77.84,29044.0,-60.34
30846.0,-79.66,30200.0,-76.58
32016.0,-87.36,31375.0,-62.09
33241.0,-50.75,32538.0,-76.09
34420.0,-58.8,33724.0,-96.6
35582.0,-70.0,34916.0,-63.84
36774.0,-67.2,36081.0,-69.79
37937.0,-79.03,37258.0,-87.29
39067.0,-85.26,38406.0,-87.71
40223.0,-86.94,39557.0,-84.21
41380.0,-74.83,40716.0,-85.12
42575.0,-80.22,41890.0,-75.74
43739.0,-54.32,43082.0,-60.48
44901.0,-68.88,44238.0,-68.6
46019.0,-93.52,45390.0,-64.68
47186.0,-77.84,46540.0,-69.72
48347.0,-69.79,47685.0,-65.87
49491.0,-101.36,48851.0,-55.23
50651.0,-76.72,50000.0,-66.57
51764.0,-90.65,51151.0,-70.42
52855.0,-78.89,52279.0,-71.26
54061.0,-93.31,53423.0,-86.1
55199.0,-88.27,54552.0,-73.78
56328.0,-72.73,55707.0,-67.69
57477.0,-92.75,56848.0,-69.86
58642.0,-87.99,57993.0,-60.76
