TO time,TO value,IC time,IC value
5633.0,-100.38,4344.0,-101.43
8761.0,-103.74,5641.0,-101.15
9984.0,-108.22,8769.0,-104.51
14866.0,-101.43,11205.0,-100.73
17270.0,-102.76,16062.0,-101.43
18489.0,-111.79,17278.0,-110.32
20892.0,-103.18,18497.0,-116.06
23223.0,-101.78,22061.0,-102.76
24392.0,-112.0,23231.0,-105.42
26761.0,-100.87,24400.0,-126.98
29098.0,-111.93,27920.0,-108.22
30262.0,-111.02,29106.0,-117.6
31413.0,-123.76,30270.0,-113.05
33794.0,-105.28,31421.0,-137.9
36143.0,-102.06,34971.0,-107.1
37328.0,-104.09,36151.0,-100.17
38492.0,-103.74,37336.0,-100.94
40177.0,-102.48,39635.0,-110.74
41952.0,-107.24,40785.0,-104.79
43135.0,-109.13,41960.0,-113.54
44300.0,-108.99,43143.0,-115.57
45437.0,-109.13,44307.0,-110.11
45980.0,-104.51,45444.0,-120.96
47748.0,-101.08,46594.0,-107.8
49443.0,-105.21,48913.0,-105.21
51733.0,-103.39,50062.0,-104.02
52334.0,-103.6,51741.0,-107.8
53470.0,-109.13,52341.0,-109.2
54615.0,-107.45,53478.0,-129.99
55151.0,-100.8,54623.0,-100.1
56910.0,-101.36,55769.0,-101.99
