TO time,TO value,IC time,IC value
5237.0,-67.34,4522.0,-73.01
6329.0,-95.41,5672.0,-71.89
7464.0,-96.6,6795.0,-70.63
8608.0,-100.1,7952.0,-73.78
9770.0,-90.58,9097.0,-78.33
10914.0,-92.75,10247.0,-66.5
11960.0,-94.43,11326.0,-72.24
12983.0,-100.73,12363.0,-83.09
14042.0,-96.25,13421.0,-82.95
15089.0,-99.33,14469.0,-80.64
16127.0,-81.69,15515.0,-82.88
17185.0,-93.1,16563.0,-92.26
18230.0,-100.17,17628.0,-78.96
19281.0,-95.69,18661.0,-80.57
20318.0,-105.0,19706.0,-86.31
21290.0,-109.76,20726.0,-87.99
22217.0,-115.5,21674.0,-85.75
23173.0,-119.49,22609.0,-91.7
24117.0,-135.59,23569.0,-115.22
25081.0,-122.78,24531.0,-110.53
26044.0,-121.38,25492.0,-118.72
27024.0,-131.25,26457.0,-103.39
27997.0,-117.04,27437.0,-105.28
28952.0,-127.47,28402.0,-108.99
29915.0,-119.63,29349.0,-106.33
30938.0,-117.11,30342.0,-102.41
32051.0,-95.41,31414.0,-93.87
33110.0,-102.97,32496.0,-91.35
34208.0,-93.87,33584.0,-86.38
35323.0,-85.33,34684.0,-79.52
36449.0,-92.68,35787.0,-72.38
37569.0,-80.08,36893.0,-67.69
38737.0,-80.29,38013.0,-65.24
39938.0,-91.14,39219.0,-71.12
41153.0,-97.51,40446.0,-72.03
42383.0,-84.35,41646.0,-62.3
43706.0,-59.99,42896.0,-59.78
