TO time,TO value,IC time,IC value
3451.0,-105.84,2254.0,-101.57
4607.0,-123.69,4001.0,-100.52
5174.0,-107.24,4615.0,-100.87
6306.0,-104.86,5757.0,-112.77
7440.0,-102.97,6827.0,-101.85
8576.0,-100.59,8046.0,-100.52
9747.0,-101.71,9113.0,-100.52
10844.0,-103.46,10340.0,-105.42
11427.0,-108.29,11342.0,-106.05
12457.0,-114.17,12371.0,-104.58
13523.0,-110.6,13437.0,-108.22
14570.0,-109.83,14484.0,-106.26
15610.0,-119.28,15524.0,-106.54
16658.0,-110.67,16571.0,-110.95
17729.0,-119.35,17643.0,-103.67
18762.0,-105.84,18677.0,-110.88
19799.0,-121.38,19713.0,-107.1
20819.0,-119.35,20734.0,-113.54
21766.0,-130.13,21681.0,-117.11
22703.0,-130.13,22617.0,-123.34
23654.0,-154.07,23569.0,-115.22
24617.0,-134.61,24531.0,-110.53
25579.0,-131.25,25492.0,-118.72
26543.0,-126.07,26457.0,-103.39
27523.0,-129.57,27437.0,-105.28
28489.0,-119.49,28402.0,-108.99
29435.0,-120.82,29349.0,-106.33
30429.0,-110.04,30342.0,-102.41
31989.0,-103.53,31460.0,-105.7
33063.0,-103.39,32543.0,-110.18
34169.0,-101.01,33631.0,-100.73
35897.0,-102.06,34700.0,-101.22
36402.0,-101.57,35904.0,-103.32
37003.0,-107.31,36917.0,-103.25
,,38099.0,-111.65
