TO time,TO value,IC time,IC value
3961.0,-140.63,3393.0,-133.49
4922.0,-110.6,4354.0,-114.94
5891.0,-131.46,5324.0,-133.0
6877.0,-126.21,6284.0,-132.51
7858.0,-121.59,7279.0,-129.29
8798.0,-121.03,8237.0,-118.86
9739.0,-135.8,9169.0,-129.78
10731.0,-110.88,10139.0,-131.18
11669.0,-132.58,11094.0,-124.74
12642.0,-126.28,12063.0,-138.67
13513.0,-132.3,13022.0,-137.13
14552.0,-122.29,13969.0,-123.76
15515.0,-138.95,14939.0,-129.71
16463.0,-136.85,15901.0,-122.15
17414.0,-133.0,16852.0,-135.66
18354.0,-130.13,17791.0,-132.72
19302.0,-132.79,18740.0,-123.9
20239.0,-135.66,19680.0,-131.67
21170.0,-141.68,20602.0,-133.56
22097.0,-121.66,21534.0,-126.91
23020.0,-138.11,22468.0,-141.61
23944.0,-147.35,23392.0,-149.73
24868.0,-141.75,24315.0,-146.79
25798.0,-134.47,25245.0,-141.12
26748.0,-134.05,26175.0,-139.37
27697.0,-131.88,27119.0,-133.14
28603.0,-143.85,28067.0,-137.27
29571.0,-115.15,29008.0,-139.93
30508.0,-107.8,29933.0,-136.57
31435.0,-136.5,30871.0,-152.39
32411.0,-131.67,31836.0,-134.75
33348.0,-132.16,32790.0,-130.06
34295.0,-139.09,33728.0,-129.22
35230.0,-132.65,34665.0,-129.57
36142.0,-140.98,35595.0,-121.73
37081.0,-118.51,36506.0,-125.58
38005.0,-140.28,37444.0,-126.84
38925.0,-138.88,38357.0,-134.19
39853.0,-149.03,39279.0,-120.26
40782.0,-148.05,40227.0,-124.04
41748.0,-132.93,41173.0,-136.64
42715.0,-128.45,42126.0,-126.28
,,43094.0,-119.28
