TO time,TO value,IC time,IC value
2516.0,-111.16,2430.0,-121.03
3472.0,-120.26,3386.0,-114.31
4441.0,-130.48,4354.0,-114.94
5418.0,-115.92,5316.0,-109.13
6380.0,-109.97,6277.0,-106.75
7381.0,-108.36,7271.0,-113.68
8316.0,-120.89,8229.0,-102.62
9256.0,-120.19,9169.0,-129.78
10226.0,-101.99,10132.0,-109.41
11181.0,-102.97,11094.0,-124.74
12149.0,-119.49,12055.0,-113.19
13101.0,-105.42,13014.0,-110.11
14055.0,-117.04,13969.0,-123.76
15018.0,-101.43,14932.0,-103.25
15987.0,-133.98,15901.0,-122.15
16931.0,-113.33,16844.0,-110.39
17878.0,-124.67,17791.0,-132.72
18827.0,-128.45,18740.0,-123.9
19758.0,-119.77,19672.0,-105.28
20704.0,-107.31,20602.0,-133.56
21620.0,-120.33,21534.0,-126.91
22546.0,-120.96,22460.0,-113.4
23471.0,-126.77,23385.0,-119.35
24393.0,-111.23,24307.0,-120.89
25324.0,-112.21,25237.0,-114.94
26254.0,-109.97,26168.0,-115.99
27206.0,-109.27,27112.0,-106.61
28147.0,-106.19,28060.0,-103.18
29081.0,-143.15,28998.0,-117.04
30028.0,-108.57,29926.0,-112.42
30958.0,-105.28,30863.0,-120.82
31915.0,-139.58,31829.0,-115.43
32868.0,-124.74,32782.0,-104.65
33822.0,-120.61,33720.0,-100.87
34752.0,-101.64,34657.0,-103.04
35683.0,-135.03,35595.0,-121.73
36600.0,-121.94,36506.0,-125.58
37522.0,-107.66,37436.0,-101.5
38436.0,-110.6,38350.0,-101.22
39373.0,-116.27,39279.0,-120.26
40316.0,-118.58,40227.0,-124.04
41267.0,-100.1,41166.0,-111.37
42212.0,-110.32,42126.0,-126.28
