TO time,TO value,IC time,IC value
3655.0,-96.25,3506.0,-45.92
5259.0,-104.09,4571.0,-34.09
6393.0,-101.57,5694.0,-39.13
7488.0,-116.69,6805.0,-47.67
8585.0,-112.7,7923.0,-35.7
9689.0,-104.79,8995.0,-46.83
10748.0,-107.59,10091.0,-35.49
11888.0,-114.87,11205.0,-54.81
13008.0,-119.21,12299.0,0.56
14106.0,-127.05,13420.0,-47.25
15159.0,-133.28,14516.0,-49.98
15790.0,-55.79,15587.0,-29.4
17376.0,-127.12,16694.0,-41.02
18496.0,-126.77,17802.0,-48.09
19569.0,-125.02,18890.0,-51.59
20178.0,-55.09,19968.0,-53.13
21219.0,-53.69,21001.0,-2.8
22789.0,-104.72,22095.0,-52.01
23358.0,-109.48,23194.0,-48.23
24946.0,-123.27,24274.0,2.87
25964.0,-129.36,25334.0,-65.24
27081.0,-115.92,26390.0,-63.84
28127.0,-137.41,27466.0,-40.32
29238.0,-87.15,28552.0,-66.64
30286.0,-98.0,29585.0,1.19
30945.0,-50.26,30664.0,-21.49
31886.0,-100.38,31736.0,-56.63
32948.0,-101.01,32792.0,-53.13
34535.0,-130.27,33852.0,1.96
35107.0,-97.58,34936.0,-38.99
36652.0,-86.45,35987.0,-58.24
37719.0,-85.05,37038.0,-49.98
38800.0,-128.52,38114.0,-42.77
39893.0,-113.96,39210.0,-38.36
40478.0,-52.85,40261.0,-66.57
41984.0,-114.73,41315.0,-40.88
43036.0,-114.17,42362.0,-51.38
44075.0,-106.89,43410.0,-34.93
45052.0,-136.01,44435.0,3.99
45629.0,-104.09,45465.0,-37.38
46675.0,-100.94,46519.0,-42.49
48247.0,-134.19,47563.0,-44.45
49280.0,-145.32,48634.0,0.35
49855.0,-112.35,49691.0,-49.84
50925.0,-85.96,50753.0,3.57
52537.0,-124.39,51854.0,-68.18
53678.0,-118.44,52962.0,-53.27
54311.0,-94.01,54148.0,-22.4
