TO time,TO value,IC time,IC value
3103.0,-115.78,3018.0,-103.81
3647.0,-102.48,3530.0,-107.45
4713.0,-103.6,4603.0,-100.17
6308.0,-100.24,5796.0,-102.27
6961.0,-100.45,6828.0,-108.78
8072.0,-102.97,7954.0,-104.3
9097.0,-104.44,9011.0,-101.64
10233.0,-101.99,10114.0,-110.18
11787.0,-101.43,11220.0,-103.39
12456.0,-105.28,12338.0,-107.52
13561.0,-101.36,13435.0,-102.55
15090.0,-105.07,14532.0,-100.03
16210.0,-101.43,15689.0,-100.8
16835.0,-103.11,16717.0,-105.77
17935.0,-104.86,17825.0,-113.4
19025.0,-101.99,18906.0,-105.21
20084.0,-107.45,19983.0,-122.08
21142.0,-102.69,21032.0,-116.48
22219.0,-109.13,22118.0,-116.76
23335.0,-103.81,23217.0,-109.69
24402.0,-109.2,24305.0,-131.81
25451.0,-107.87,25350.0,-119.98
26538.0,-111.44,26405.0,-102.41
27576.0,-108.92,27490.0,-113.47
28694.0,-100.52,28568.0,-113.54
29725.0,-106.4,29608.0,-111.02
30821.0,-112.42,30687.0,-112.91
31870.0,-112.0,31752.0,-110.74
32909.0,-102.55,32808.0,-108.85
34007.0,-101.92,33882.0,-112.77
35068.0,-107.38,34959.0,-101.92
36111.0,-107.87,36002.0,-119.28
37155.0,-103.6,37053.0,-100.1
38239.0,-108.22,38137.0,-115.92
39343.0,-108.15,39233.0,-124.39
40378.0,-104.79,40276.0,-125.02
41447.0,-103.04,41338.0,-107.8
42473.0,-102.97,42377.0,-113.82
43542.0,-105.0,43433.0,-108.22
44567.0,-112.98,44466.0,-105.63
45605.0,-114.38,45488.0,-120.75
46645.0,-102.97,46535.0,-105.91
47688.0,-102.55,47578.0,-106.12
48759.0,-106.26,48657.0,-102.2
49840.0,-113.61,49714.0,-101.01
50910.0,-103.95,50792.0,-106.82
51978.0,-100.94,51869.0,-109.55
,,52985.0,-103.32
