TO time,TO value,IC time,IC value
3926.0,-63.35,3690.0,-25.69
5149.0,-68.32,4945.0,2.1
7001.0,-66.78,6183.0,-25.69
8269.0,-75.95,7427.0,-26.95
8922.0,-78.89,8694.0,-23.87
10202.0,-79.52,9999.0,-43.54
11391.0,-79.94,11234.0,-37.8
13344.0,-77.0,12504.0,-37.17
14658.0,-77.77,13794.0,-32.62
15928.0,-74.2,15102.0,-20.23
17183.0,-71.68,16380.0,-31.29
18449.0,-66.22,17617.0,-26.88
19709.0,-69.58,18893.0,-38.85
20963.0,-82.25,20143.0,-28.14
22189.0,-83.44,21407.0,-34.09
22802.0,-85.33,22606.0,-19.39
24039.0,-85.68,23843.0,2.8
25304.0,-86.03,25124.0,-31.01
27187.0,-75.25,26380.0,-26.18
27811.0,-75.39,27616.0,0.49
29018.0,-82.25,28845.0,4.2
30264.0,-72.24,30075.0,-34.93
31525.0,-86.87,31329.0,5.32
33444.0,-80.71,32619.0,6.72
34673.0,-70.07,33884.0,-25.62
35869.0,-87.57,35093.0,-33.39
36486.0,-86.94,36312.0,-27.58
37729.0,-88.06,37540.0,-8.96
38982.0,-80.64,38802.0,-20.16
40270.0,-79.94,40099.0,-26.18
42200.0,-65.52,41378.0,-31.5
43464.0,-62.02,42634.0,2.94
44678.0,-55.86,43891.0,-51.45
45331.0,-57.19,45104.0,-31.99
46582.0,-59.29,46357.0,-28.21
48442.0,-72.03,47626.0,-34.44
49718.0,-71.33,48880.0,0.84
50302.0,-75.67,50132.0,-25.2
51524.0,-76.72,51328.0,-32.41
52726.0,-79.45,52547.0,-39.13
53906.0,-86.17,53710.0,-34.86
55110.0,-85.89,54930.0,-28.63
56269.0,-87.22,56104.0,-31.01
57451.0,-86.66,57287.0,-35.21
58598.0,-81.13,58448.0,-48.86
60346.0,-77.49,59593.0,-44.73
60935.0,-65.59,60756.0,-64.12
62047.0,-66.43,61867.0,2.1
63213.0,-69.16,63032.0,-37.8
64946.0,-51.73,64192.0,-41.09
66128.0,-76.65,65365.0,-48.79
67303.0,-86.59,66524.0,-6.44
67905.0,-87.99,67718.0,-33.95
,,68889.0,-19.18
