TO time,TO value,IC time,IC value
3872.0,-100.66,3156.0,-104.79
5656.0,-102.48,4424.0,-102.34
6899.0,-101.78,5664.0,-108.64
8183.0,-102.69,6907.0,-104.86
9488.0,-105.63,8191.0,-107.17
10737.0,-105.56,9496.0,-111.93
11961.0,-103.39,10745.0,-111.65
13267.0,-105.7,11969.0,-109.76
14557.0,-102.13,13275.0,-112.35
15858.0,-106.75,14565.0,-110.88
17103.0,-100.24,15866.0,-111.16
18363.0,-103.95,17111.0,-107.03
19616.0,-101.08,18371.0,-111.65
20869.0,-100.73,19624.0,-104.93
22095.0,-100.17,20877.0,-105.56
23315.0,-100.8,22103.0,-105.14
24582.0,-101.71,23323.0,-106.47
25861.0,-103.04,24590.0,-106.68
27094.0,-102.83,25869.0,-106.33
28349.0,-103.04,27102.0,-106.47
29554.0,-101.15,28357.0,-111.44
30807.0,-102.41,29562.0,-106.47
31502.0,-106.05,30815.0,-105.98
32124.0,-105.49,31509.0,-106.89
34556.0,-104.86,33351.0,-101.57
34650.0,-127.96,34564.0,-111.16
35861.0,-101.01,35776.0,-101.57
37705.0,-104.93,37021.0,-102.27
39603.0,-106.68,37713.0,-103.46
42123.0,-108.08,39611.0,-112.56
43387.0,-107.73,42131.0,-114.17
44600.0,-102.9,43394.0,-113.33
45848.0,-107.17,44608.0,-108.85
47097.0,-101.85,45856.0,-113.19
48381.0,-106.75,47105.0,-108.78
49649.0,-100.24,48388.0,-111.16
50842.0,-100.45,49657.0,-103.88
52068.0,-109.27,50850.0,-106.19
52577.0,-105.28,52076.0,-116.2
53285.0,-102.2,53199.0,-101.01
54443.0,-102.13,53882.0,-107.59
55079.0,-100.52,54962.0,-101.43
56799.0,-105.21,56135.0,-102.9
57428.0,-106.4,57318.0,-109.27
59066.0,-106.47,58472.0,-106.61
60330.0,-117.95,60245.0,-101.71
60889.0,-101.92,60772.0,-102.97
62638.0,-122.43,62553.0,-100.03
63190.0,-101.5,63071.0,-107.17
64860.0,-103.95,64231.0,-102.9
66050.0,-101.29,65388.0,-112.14
67210.0,-103.81,66562.0,-100.87
