TO time,TO value,IC time,IC value
4673.0,-67.13,4477.0,1.82
6060.0,-66.22,5870.0,-26.53
7375.0,-71.05,7172.0,-36.12
8656.0,-70.49,8461.0,4.76
10589.0,-63.07,9782.0,-25.97
11883.0,-67.83,11021.0,-26.39
12475.0,-80.29,12326.0,-41.3
14448.0,-73.15,13609.0,-36.47
15064.0,-77.42,14893.0,-33.6
16350.0,-79.24,16163.0,-23.17
17582.0,-81.2,17396.0,-49.14
18662.0,-89.18,18483.0,0.07
19708.0,-94.64,19551.0,-48.23
21279.0,-84.91,20593.0,2.94
21822.0,-103.11,21666.0,-53.41
22863.0,-101.29,22707.0,-60.13
23861.0,-104.72,23728.0,-51.38
24895.0,-95.62,24730.0,0.28
25893.0,-100.87,25759.0,-61.88
26923.0,-103.18,26781.0,-53.83
27950.0,-107.31,27809.0,-40.95
28956.0,-102.76,28814.0,-52.36
30481.0,-87.08,29825.0,-56.14
30993.0,-98.14,30836.0,-40.74
32437.0,-104.44,31847.0,-49.91
33378.0,-83.65,32793.0,-70.91
33860.0,-111.16,33719.0,-49.14
34797.0,-119.35,34649.0,-76.02
36139.0,-112.91,35564.0,-36.96
36605.0,-122.78,36487.0,-56.77
37570.0,-121.52,37437.0,-74.62
38511.0,-115.29,38370.0,-53.2
39451.0,-118.72,39302.0,-84.07
40826.0,-112.42,40232.0,-51.87
41339.0,-105.49,41182.0,-84.91
42887.0,-117.67,42193.0,-21.35
44034.0,-109.62,43309.0,-51.17
45193.0,-101.22,44453.0,-36.89
46315.0,-91.07,45581.0,0.77
47414.0,-99.12,46685.0,-40.6
48510.0,-75.74,47802.0,-31.57
49640.0,-90.37,48906.0,-31.5
50777.0,-101.71,50036.0,-55.72
52057.0,-87.43,51205.0,5.81
53393.0,-88.48,52499.0,-22.05
54700.0,-75.67,53812.0,0.63
55993.0,-55.37,55118.0,2.45
57336.0,-69.09,56419.0,-29.47
58642.0,-83.65,57737.0,-39.27
59986.0,-78.33,59101.0,-25.9
61336.0,-66.08,60427.0,-23.38
62668.0,-72.1,61745.0,-25.97
,,63015.0,7.77
