TO time,TO value,IC time,IC value
6660.0,-100.31,5325.0,-100.1
7943.0,-101.15,6668.0,-107.94
9270.0,-102.62,7951.0,-101.64
10481.0,-101.22,9278.0,-105.14
11806.0,-108.15,10489.0,-104.02
13097.0,-104.44,11814.0,-113.61
14378.0,-102.83,13105.0,-109.55
15642.0,-103.11,14386.0,-108.01
16930.0,-103.74,15649.0,-107.8
17427.0,-104.93,16938.0,-113.4
17991.0,-100.38,17435.0,-107.87
18631.0,-101.08,18514.0,-111.58
19669.0,-105.07,19566.0,-105.07
20726.0,-100.73,20623.0,-110.18
21791.0,-105.21,21681.0,-108.5
22833.0,-103.53,22723.0,-115.43
23830.0,-102.13,23743.0,-105.42
24864.0,-110.32,24753.0,-104.65
25862.0,-108.29,25775.0,-113.47
26899.0,-103.11,26797.0,-108.15
27919.0,-105.56,27825.0,-101.78
28917.0,-115.99,28830.0,-104.23
29967.0,-100.87,29841.0,-115.01
30954.0,-107.73,30859.0,-113.96
31949.0,-143.43,31863.0,-115.08
32888.0,-112.49,32801.0,-118.79
33821.0,-122.29,33735.0,-142.45
34758.0,-108.71,34657.0,-110.04
35665.0,-129.92,35579.0,-108.01
36589.0,-127.82,36502.0,-127.05
37539.0,-100.73,37445.0,-115.22
38471.0,-128.8,38385.0,-122.85
39405.0,-114.45,39310.0,-108.15
40329.0,-134.33,40248.0,-115.08
41285.0,-115.85,41190.0,-113.54
42365.0,-102.34,42231.0,-108.71
45100.0,-108.99,43956.0,-100.03
45193.0,-101.22,45108.0,-120.75
46196.0,-101.85,45620.0,-100.59
47328.0,-106.33,46717.0,-102.9
48479.0,-151.69,48394.0,-104.72
49633.0,-109.13,49547.0,-100.59
51971.0,-101.78,50722.0,-123.69
53324.0,-105.49,51979.0,-106.75
54630.0,-104.72,53331.0,-114.17
55899.0,-101.43,54637.0,-110.39
57250.0,-103.04,55907.0,-109.06
59916.0,-103.32,57258.0,-110.88
,,59924.0,-106.82
