TO time,TO value,IC time,IC value
4019.0,-162.47,3473.0,-113.19
4964.0,-165.27,4436.0,-104.3
5951.0,-167.3,5374.0,-164.99
6915.0,-151.27,6345.0,-157.5
7873.0,-166.39,7310.0,-154.0
8832.0,-152.81,8278.0,-158.48
9787.0,-167.44,9230.0,-165.83
10719.0,-167.44,10177.0,-181.86
11682.0,-156.45,11121.0,-157.64
12664.0,-154.14,12112.0,-116.2
13641.0,-166.11,13072.0,-177.87
14620.0,-150.57,14039.0,-153.23
15569.0,-128.94,15025.0,-113.61
16535.0,-161.14,15970.0,-159.39
17541.0,-143.71,16945.0,-149.66
18506.0,-161.63,17938.0,-164.15
19451.0,-166.88,18892.0,-158.13
20401.0,-161.56,19853.0,-133.84
21377.0,-163.17,20799.0,-160.58
22330.0,-166.39,21767.0,-157.36
23274.0,-162.19,22727.0,-159.18
24215.0,-150.78,23661.0,-155.68
25165.0,-156.66,24617.0,-100.66
26116.0,-171.92,25551.0,-167.02
27077.0,-165.2,26512.0,-159.25
28029.0,-152.81,27481.0,-128.73
28990.0,-144.55,28434.0,-172.69
29935.0,-146.51,29372.0,-161.77
30890.0,-157.22,30316.0,-178.43
31837.0,-168.35,31294.0,-88.13
32787.0,-167.79,32247.0,-136.92
33741.0,-171.36,33183.0,-167.65
34680.0,-167.09,34131.0,-171.64
35630.0,-146.37,35068.0,-155.05
36589.0,-156.59,36004.0,-155.4
37564.0,-161.21,37010.0,-80.5
38537.0,-164.99,37960.0,-160.23
39524.0,-153.23,38938.0,-149.52
,,39941.0,-163.31
