TO time,TO value,IC time,IC value
2579.0,-141.75,2498.0,-100.59
3527.0,-151.48,3441.0,-107.1
4490.0,-152.74,4405.0,-112.07
5443.0,-123.06,5358.0,-114.38
6415.0,-144.76,6329.0,-102.2
7379.0,-150.29,7294.0,-100.87
8348.0,-186.2,8262.0,-117.46
9300.0,-134.82,9214.0,-118.3
10249.0,-174.65,10160.0,-120.61
11190.0,-190.19,11105.0,-127.33
12166.0,-138.6,12081.0,-112.91
13142.0,-142.1,13056.0,-120.26
14108.0,-153.02,14024.0,-103.04
15087.0,-182.56,15002.0,-124.6
16039.0,-177.73,15955.0,-107.87
17022.0,-137.06,16937.0,-125.09
18009.0,-169.26,17923.0,-114.45
18961.0,-167.51,18876.0,-104.72
19916.0,-187.04,19830.0,-121.66
20868.0,-140.77,20783.0,-100.66
21837.0,-163.66,21752.0,-106.68
22797.0,-180.53,22711.0,-108.43
23739.0,-188.02,23653.0,-127.05
24679.0,-178.78,24594.0,-112.28
25621.0,-159.53,25535.0,-110.25
26582.0,-162.33,26496.0,-108.29
27543.0,-183.96,27456.0,-106.12
28504.0,-144.41,28418.0,-109.48
29442.0,-145.74,29356.0,-103.95
30385.0,-151.34,30300.0,-108.29
31348.0,-169.26,31262.0,-111.3
32302.0,-167.37,32216.0,-101.08
33253.0,-157.85,33167.0,-115.85
34201.0,-161.28,34115.0,-123.2
35138.0,-140.91,35052.0,-104.86
36081.0,-178.01,35996.0,-125.37
37064.0,-168.07,36978.0,-121.52
38030.0,-159.11,37945.0,-113.19
39015.0,-185.57,38930.0,-124.32
,,39926.0,-117.39
