TO time,TO value,IC time,IC value
,,3390.0,7.35
,,4518.0,4.9
,,5617.0,10.78
,,6012.0,4.62
,,6734.0,8.89
,,7872.0,8.26
,,8947.0,7.77
,,10078.0,-11.2
,,11169.0,1.33
,,12275.0,5.74
,,13387.0,-21.56
,,14464.0,6.37
,,15535.0,6.37
,,16627.0,0.42
,,17006.0,0.07
,,17719.0,3.85
,,18801.0,-14.28
,,19914.0,-16.38
,,21012.0,3.22
,,22108.0,-18.97
,,23183.0,2.52
,,24291.0,6.37
,,25410.0,-20.37
,,26514.0,-34.3
,,27593.0,7.35
,,28719.0,-13.44
,,29802.0,-12.25
,,30881.0,-16.38
,,31977.0,-15.61
,,33076.0,-17.92
,,34162.0,7.42
,,35277.0,-16.38
,,36366.0,10.08
,,37479.0,4.2
,,38560.0,7.49
,,39681.0,-12.32
,,40750.0,8.47
,,41844.0,12.67
,,42910.0,13.58
,,43544.0,8.54
,,44000.0,-0.7
,,44607.0,8.75
,,45086.0,2.24
,,46173.0,-16.24
,,47262.0,-17.15
,,48350.0,3.99
,,49430.0,6.44
,,49825.0,9.87
,,50545.0,1.68
,,51684.0,-20.58
,,52823.0,4.55
,,53460.0,9.73
